[0:00:00.00]-[0:00:02.00]  ¿No hay una silla?
[1:24:33.50]-[1:24:35.50]  como el cuartel lo hacía
[1:24:35.50]-[1:24:37.50]  el ejército de Fusalmere
[1:24:37.50]-[1:24:39.50]  la casa del médico había que hacer
[1:24:39.50]-[1:24:41.50]  al pueblo y entonces ahí no me se va a venir
[1:24:41.50]-[1:24:43.50]  y entonces aquí en el campo
[1:24:43.50]-[1:24:45.50]  si queramos una casa para el médico
[1:24:45.50]-[1:24:49.50]  pero se llevaban ustedes bien con los de Argoite o no?
[1:24:49.50]-[1:24:51.50]  si se llevaban ahora ya más
[1:24:51.50]-[1:24:53.50]  porque ya se están casando
[1:24:53.50]-[1:24:55.50]  todas las mujeres pero los camperos
[1:24:55.50]-[1:24:57.50]  los campesinos pues los abuteros
[1:24:57.50]-[1:24:59.50]  esto ya es el mismo pueblo
[1:24:59.50]-[1:25:01.50]  entonces había más diferentes
[1:25:01.50]-[1:25:03.50]  por las tierras
[1:25:03.50]-[1:25:05.50]  por el agua
[1:25:05.50]-[1:25:07.50]  pero como estaban más arriba los querían
[1:25:07.50]-[1:25:09.50]  no querían dar agua nosotros
[1:25:09.50]-[1:25:11.50]  pero nada grave
[1:25:11.50]-[1:25:13.50]  no iba usted allí a robarle a la mujer
[1:25:13.50]-[1:25:15.50]  pero
[1:25:17.50]-[1:25:19.50]  y los hijos antes se tenían en casa
[1:25:19.50]-[1:25:21.50]  no? normalmente
[1:25:21.50]-[1:25:23.50]  los hijos se tenían en casa no?
[1:25:23.50]-[1:25:25.50]  y venía el médico
[1:25:25.50]-[1:25:27.50]  a asistir a los partos
[1:25:27.50]-[1:25:29.50]  y aquí enfrente de aquí de esta casa
[1:25:29.50]-[1:25:31.50]  ahí enfrente había una comadrona
[1:25:31.50]-[1:25:33.50]  que era la que llevaba
[1:25:33.50]-[1:25:35.50]  todos los partos del pueblo
[1:25:35.50]-[1:25:37.50]  yo recuerdo que esa complicada
[1:25:37.50]-[1:25:39.50]  venía el médico
[1:25:39.50]-[1:25:41.50]  pero no necesitaba el médico
[1:25:41.50]-[1:25:43.50]  iba a correr y venía a correr
[1:25:43.50]-[1:25:45.50]  y ya con una moto
[1:25:45.50]-[1:25:47.50]  el bicicleta venía
[1:25:47.50]-[1:25:49.50]  y se la llevaba
[1:25:49.50]-[1:25:51.50]  y era una mujer que sentía mucho eso
[1:25:51.50]-[1:25:53.50]  a los niños los parto del pueblo se casito
[1:25:53.50]-[1:25:55.50]  así?
[1:25:55.50]-[1:25:57.50]  menos estos menores que ya
[1:25:57.50]-[1:25:59.50]  nacieron en la pichada y todo eso
[1:25:59.50]-[1:26:01.50]  los mayores que viven aquí enfrente
[1:26:01.50]-[1:26:03.50]  y los parto del pueblo
[1:26:03.50]-[1:26:05.50]  a los cuatro mayores los parto del pueblo
[1:26:05.50]-[1:26:07.50]  pero porque entonces eran mayores
[1:26:07.50]-[1:26:11.50]  que en más de 40 años
[1:26:11.50]-[1:26:13.50]  45 hasta los 40
[1:26:13.50]-[1:26:15.50]  claro
[1:26:15.50]-[1:26:17.50]  ah pues yo pensé que eso era
[1:26:17.50]-[1:26:19.50]  de antiguos tiempos que no
[1:26:19.50]-[1:26:21.50]  no lo sé
[1:26:21.50]-[1:26:23.50]  esos que no nacieron
[1:26:23.50]-[1:26:25.50]  los que tienen los 40 para arriba
[1:26:25.50]-[1:26:27.50]  los parto de los dos a los tres
[1:26:27.50]-[1:26:29.50]  y los dejaba hasta usted presente o no?
[1:26:29.50]-[1:26:31.50]  claro yo no quería
[1:26:31.50]-[1:26:33.50]  yo no entria
[1:26:33.50]-[1:26:35.50]  entonces ahí sentado ahí la puerta
[1:26:35.50]-[1:26:37.50]  y decía ella
[1:26:37.50]-[1:26:39.50]  sasso
[1:26:39.50]-[1:26:41.50]  no me lo puedo botar
[1:26:41.50]-[1:26:43.50]  pero me lo pude
[1:26:43.50]-[1:26:45.50]  pero podía haber echado tú una mano
[1:26:45.50]-[1:26:47.50]  no no
[1:26:47.50]-[1:26:49.50]  y yo me esperaba ahí
[1:26:49.50]-[1:26:51.50]  cuando me sentía llorada
[1:26:51.50]-[1:26:53.50]  y el triunfo de la puerta
[1:26:53.50]-[1:26:55.50]  y el trago usted pasaba y se daba
[1:26:55.50]-[1:26:57.50]  si era rojo o no se sabía
[1:26:57.50]-[1:26:59.50]  yo cuando me sentía chille
[1:26:59.50]-[1:27:01.50]  digo ya no viví
[1:27:01.50]-[1:27:05.50]  no me lo puedo botar
[1:27:05.50]-[1:27:09.50]  ¿quereis nos falta algo de...
[1:27:09.50]-[1:27:11.50]  ¿tú crees que no puedo?
[1:27:11.50]-[1:27:13.50]  si no nos falta nada
[1:27:13.50]-[1:27:15.50]  ¿donde ha dicho usted que
[1:27:15.50]-[1:27:17.50]  alguien que tenemos que irnos
[1:27:17.50]-[1:27:19.50]  a comer a la venta, a la arriba?
[1:27:19.50]-[1:27:21.50]  la venta a la alegría
[1:27:21.50]-[1:27:23.50]  la venta a la alegría
[1:27:23.50]-[1:27:25.50]  pero eso todavía está en el pueblo
[1:27:25.50]-[1:27:27.50]  ¿eso está aquí en el pueblo?
[1:27:27.50]-[1:27:29.50]  en el pueblo podría comer a mesón
[1:27:29.50]-[1:27:31.50]  es el único sitio que hay
[1:27:31.50]-[1:27:33.50]  bueno aquí hay también un sitio que se come
[1:27:33.50]-[1:27:35.50]  pero...
[1:27:35.50]-[1:27:37.50]  ¿pero en la venta es hasta mejor?
[1:27:37.50]-[1:27:39.50]  no es más caro
[1:27:39.50]-[1:27:41.50]  pero la comida está mejor
[1:27:41.50]-[1:27:43.50]  si, un poco
[1:27:43.50]-[1:27:45.50]  un poco es el menú
[1:27:45.50]-[1:27:47.50]  supongo que es el menú
[1:27:47.50]-[1:27:49.50]  no se dice el menú cada año
[1:27:49.50]-[1:27:51.50]  nosotros nos encontramos en el menú
[1:27:51.50]-[1:27:53.50]  ¿habéis de siempre a comer de pasta?
[1:27:53.50]-[1:27:55.50]  si
[1:27:55.50]-[1:27:57.50]  en el pueblo parece supermoto
[1:27:57.50]-[1:27:59.50]  yo de menudo
[1:27:59.50]-[1:28:01.50]  ¿porque está arriba la venta de San Luis de Ovo?
[1:28:01.50]-[1:28:03.50]  no
[1:28:03.50]-[1:28:05.50]  esa sale por aquí
[1:28:05.50]-[1:28:07.50]  o sale aquí de campo que te va a
[1:28:07.50]-[1:28:09.50]  que te va a llevar para Amuntia
[1:28:09.50]-[1:28:11.50]  sale al otro guío, hay una redonda
[1:28:11.50]-[1:28:13.50]  que sale para abajo a Amuntia
[1:28:13.50]-[1:28:15.50]  por la primera venta de ahí
[1:28:15.50]-[1:28:17.50]  que está a 10 metros de la redonda
[1:28:17.50]-[1:28:19.50]  para abajo, ¿entiende?
[1:28:19.50]-[1:28:21.50]  pero que está en un paisaje bonito
[1:28:21.50]-[1:28:23.50]  o lo han puesto ahí por el edificio
[1:28:23.50]-[1:28:25.50]  hay dos, una a la derecha y otra a la izquierda
[1:28:25.50]-[1:28:27.50]  pero, si hemos venido de arriba
[1:28:27.50]-[1:28:29.50]  desde Albuite
[1:28:29.50]-[1:28:31.50]  entonces no hemos pasado por ahí
[1:28:31.50]-[1:28:33.50]  no
[1:28:33.50]-[1:28:35.50]  pero es saliendo para Amuntia
[1:28:35.50]-[1:28:37.50]  pero tú crees que no merece la pena
[1:28:37.50]-[1:28:39.50]  hombre, se come bien, nosotros subimos a comer
[1:28:39.50]-[1:28:41.50]  se come bien
[1:28:41.50]-[1:28:43.50]  ¿y cuántos kilómetros está?
[1:28:43.50]-[1:28:45.50]  así no
[1:28:45.50]-[1:28:47.50]  está cerca
[1:28:47.50]-[1:28:49.50]  ¿qué?
[1:28:49.50]-[1:28:51.50]  3 kilómetros así
[1:28:51.50]-[1:28:53.50]  ¿3 kilómetros?
[1:28:53.50]-[1:28:55.50]  y qué es lo que comí vosotros
[1:28:55.50]-[1:28:57.50]  cuando pasabas para comer nosotros eso
[1:28:57.50]-[1:28:59.50]  cabrito
[1:28:59.50]-[1:29:01.50]  eso vale
[1:29:01.50]-[1:29:03.50]  eso todo
[1:29:03.50]-[1:29:05.50]  ¿alguien está grabando?
[1:29:05.50]-[1:29:07.50]  o llegamos a la pasta
[1:29:07.50]-[1:29:09.50]  ah, pues entonces ya sabemos dónde vamos
[1:29:09.50]-[1:29:11.50]  entonces ya está decidido
[1:29:11.50]-[1:29:13.50]  bueno, pues muchísimas gracias
[1:29:13.50]-[1:29:15.50]  muchísimas gracias
[1:29:15.50]-[1:29:17.50]  nos ha costado la propia vida
[1:29:17.50]-[1:29:19.50]  llegar hasta aquí, desde El Quinole, hasta el campo
[1:29:19.50]-[1:29:21.50]  ¿te voy a dejar mi correo?
[1:29:21.50]-[1:29:23.50]  nos han mandado para allá
[1:29:23.50]-[1:29:25.50]  ¿pero a qué va?
[1:29:25.50]-[1:29:27.50]  el barbero nos ha dicho
[1:29:27.50]-[1:29:29.50]  si, eso tengo yo un amigo
[1:29:29.50]-[1:29:31.50]  que no sé qué, que no sé cuánto
[1:29:31.50]-[1:29:33.50]  y hemos ido para allá
[1:29:33.50]-[1:29:35.50]  allí hemos visto
[1:29:35.50]-[1:29:37.50]  hasta pago real
[1:29:37.50]-[1:29:39.50]  ese hombre tiene de todo
[1:29:39.50]-[1:29:51.50]  lo que es tostar
