[0:00:00.00]-[0:00:02.00]  Claro, para bailarla, sí.
[1:25:33.00]-[1:25:37.00]  No tenían para pagar tampoco, para, no sé, lo que nos daban, diez céntimas.
[1:25:37.00]-[1:25:40.00]  Pero esta joven nos está cogiendo todo lo que decís, ¿eh?
[1:25:40.00]-[1:25:41.00]  Hombre, si ya lo sé de no.
[1:25:41.00]-[1:25:44.00]  Nosotros no contamos niquiera ninguna, es una realidad que pasó.
[1:25:44.00]-[1:25:47.00]  Si ya lo sé yo, que nos está cogiendo todo.
[1:25:47.00]-[1:25:48.00]  Sí.
[1:25:48.00]-[1:25:50.00]  Pero bueno, nosotros decimos lo que pasó,
[1:25:50.00]-[1:25:54.00]  que es lo que vienen ellos a averiguar, a ver lo que nos pasó.
[1:25:54.00]-[1:25:57.00]  Oye, lo que está pasando ahora ya lo sabe todo el mundo, porque eso ya...
[1:25:57.00]-[1:26:02.00]  ¿Y estos pisoñeros cuántos eran y quiénes estaban a cargo de los presos?
[1:26:02.00]-[1:26:05.00]  ¿Quiénes estaban?
[1:26:05.00]-[1:26:11.00]  Pues, el que mandaran ellos, el jefe, el sargento, el teniente, el...
[1:26:11.00]-[1:26:13.00]  Yo lo que sé quiénes, no sé, no sé.
[1:26:13.00]-[1:26:14.00]  ¿Militares?
[1:26:14.00]-[1:26:17.00]  Militares, hubo muchas veces militares por aquí.
[1:26:17.00]-[1:26:22.00]  Entonces, cuando la guerra y después de la guerra y de todo.
[1:26:22.00]-[1:26:24.00]  ¿Acaso vivieron ahí los... los... los...
[1:26:24.00]-[1:26:26.00]  Y después hubo... ah, pero esos eran los guardias.
[1:26:26.00]-[1:26:28.00]  Los guardias.
[1:26:28.00]-[1:26:31.00]  Los que vinieron aquí vivían, eran guardias ya.
[1:26:31.00]-[1:26:36.00]  Y en unas cuadras que había, que había donde tenía la casa...
[1:26:36.00]-[1:26:37.00]  ¿Ahora?
[1:26:37.00]-[1:26:39.00]  Allí vivieron, allí tenían la intendencia,
[1:26:39.00]-[1:26:41.00]  en aquellas cuadras del... de aquella gente.
[1:26:41.00]-[1:26:42.00]  Bueno, bueno.
[1:26:42.00]-[1:26:44.00]  Allí tenían la intendencia, allí tenían algo de...
[1:26:44.00]-[1:26:46.00]  alguna mantina y alguna cosa.
[1:26:46.00]-[1:26:48.00]  Yo lo que sé, yo no sé nada de eso.
[1:26:48.00]-[1:26:50.00]  Y el rancho haciéndolo en el portal de la casa de...
[1:26:50.00]-[1:26:51.00]  No sé nada de esa vida.
[1:26:51.00]-[1:26:52.00]  Hacían allí el rancho.
[1:26:52.00]-[1:26:56.00]  Hacían allí un... un... un... un...
[1:26:56.00]-[1:26:58.00]  ¿Y dormían, dormían, dormían?
[1:26:58.00]-[1:26:59.00]  ¿Como los pajaros?
[1:26:59.00]-[1:27:00.00]  Sí, yo que sabía que dormían...
[1:27:00.00]-[1:27:01.00]  ¿Eran prisioneros de guerra?
[1:27:01.00]-[1:27:03.00]  Claro, claro.
[1:27:03.00]-[1:27:04.00]  ¿Ian de otro partido?
[1:27:04.00]-[1:27:05.00]  Porque miran, antes...
[1:27:05.00]-[1:27:07.00]  Bueno, yo que sé, yo que sé, ¿no?
[1:27:07.00]-[1:27:09.00]  Cuéntes tanto, porque no sabemos si eran...
[1:27:09.00]-[1:27:10.00] ...de un partido, si eran de otro partido.
[1:27:10.00]-[1:27:12.00]  No, eran prisioneros de guerra, vaya.
[1:27:12.00]-[1:27:14.00]  Bueno, pero qué sabemos nosotros de qué eran.
[1:27:14.00]-[1:27:17.00]  Eso, eran militares que trajeron por aquí.
[1:27:17.00]-[1:27:19.00]  Pero, ¿eran de León o eran de otras partes?
[1:27:19.00]-[1:27:20.00]  Uy, yo que sé dónde serían.
[1:27:20.00]-[1:27:21.00]  De todo el mundo.
[1:27:21.00]-[1:27:23.50]  de todo, de todos los sitios eran.
[1:27:23.50]-[1:27:28.50]  Los mismos eran de las Vasconcadas, que eran de Andalucía, que eran de...
[1:27:28.50]-[1:27:29.50]  Cualquiera sabe dónde eran.
[1:27:29.50]-[1:27:32.50]  De donde fueran.
[1:27:32.50]-[1:27:34.50]  Eran prisioneros.
[1:27:34.50]-[1:27:40.50]  Y los traerían por aquí, para hacer estas carreteras.
[1:27:40.50]-[1:27:42.50]  ¿Hoy no vais de paseo o qué?
[1:27:42.50]-[1:27:43.50]  Sí, vamos a marchar ya.
[1:27:43.50]-[1:27:48.50]  No, no, no, no, no están en mi casa.
[1:27:48.50]-[1:27:51.50]  ¿No? ¿Pero esta es tu casa, no?
[1:27:51.50]-[1:27:53.50]  Sí, es la misma.
[1:27:53.50]-[1:27:54.50]  Mira qué guapa es.
[1:27:54.50]-[1:27:55.50]  Sí, ya lo creo.
[1:27:55.50]-[1:27:58.50]  Bueno, pues es de las Dantes y así está.
[1:27:58.50]-[1:28:02.50]  ¿La hizo usted? ¿La hizo su marido?
[1:28:02.50]-[1:28:05.50]  Sí, sí, sí.
[1:28:05.50]-[1:28:07.50]  Y ahí su mi marido.
[1:28:07.50]-[1:28:12.50]  Y él era el único que trabajaba en las piedras.
[1:28:12.50]-[1:28:16.50]  Haciendo casas para la gente por ahí adelante y por todos los sitios.
[1:28:16.50]-[1:28:19.50]  Yo ya marcho, porque ya me cansé.
[1:28:19.50]-[1:28:22.50]  Pero no tiene que decir cómo se llama, por lo menos.
[1:28:22.50]-[1:28:24.50]  Ay, no, no, yo no me lo digo cómo me llamo.
[1:28:24.50]-[1:28:27.50]  No, no, no, no, cómo me llamo no, porque no tiene necesidad de saber nadie.
[1:28:27.50]-[1:28:29.50]  Bueno, por lo menos la edad que tiene.
[1:28:29.50]-[1:28:30.50]  80 años.
[1:28:30.50]-[1:28:32.50]  Ah, bueno, pues eso ya está.
[1:28:32.50]-[1:28:35.50]  Pero el tiempo, cómo me llamo no lo digo.
[1:28:35.50]-[1:28:37.50]  Bueno, no tiene necesidad de saber nadie que...
[1:28:37.50]-[1:28:38.50]  ¿Cuánto se va a ver en 80 años?
[1:28:38.50]-[1:28:39.50]  No, no, no.
[1:28:39.50]-[1:28:40.50]  Unas mujeres de 80 años ya.
[1:28:40.50]-[1:28:42.50]  Ya son de 80 años, que somos del mismo tiempo.
[1:28:42.50]-[1:28:44.50]  ¿Las dos son de 80 años?
[1:28:44.50]-[1:28:45.50]  Sí, las dos son de 80.
[1:28:45.50]-[1:28:46.50]  Y usted es de 80 años.
[1:28:46.50]-[1:28:47.50]  Sí, sí, sí.
[1:28:47.50]-[1:28:48.50]  ¿O no ve?
[1:28:48.50]-[1:28:49.50]  ¿Y usted es de 89?
[1:28:49.50]-[1:28:50.50]  Yo me parece que tienes que ser de 89.
[1:28:50.50]-[1:28:51.50]  Yo nací en el 4, en el 14.
[1:28:51.50]-[1:28:52.50]  Está en la cuenta verde.
[1:28:52.50]-[1:28:53.50]  Yo sería de 89.
[1:28:53.50]-[1:28:54.50]  ¿Usted tampoco nos quiere decir su nombre?
[1:28:54.50]-[1:28:55.50]  Yo no, no, no, no.
[1:28:55.50]-[1:28:56.50]  No, no, no.
[1:28:56.50]-[1:28:57.50]  No se lo decimos porque, mira, así no lo sabéis.
[1:28:57.50]-[1:28:58.50]  Sabes que hay unas mujeres mayores de este pueblo, pero no sabéis.
[1:28:58.50]-[1:28:59.50]  ¿Qué es lo que es?
[1:28:59.50]-[1:29:00.50]  ¿Qué es lo que es?
[1:29:00.50]-[1:29:01.50]  ¿Qué es lo que es?
[1:29:01.50]-[1:29:02.50]  ¿Qué es lo que es?
[1:29:02.50]-[1:29:03.50]  ¿Qué es lo que es?
[1:29:03.50]-[1:29:04.50]  ¿Qué es lo que es?
[1:29:04.50]-[1:29:05.50]  ¿Qué es lo que es?
[1:29:05.50]-[1:29:06.50]  ¿Qué es lo que es?
[1:29:06.50]-[1:29:07.50]  ¿Qué es lo que es?
[1:29:07.50]-[1:29:16.50]  ¿Qué es lo que es?
[1:29:16.50]-[1:29:38.50]  ¿Qué es lo que es?
[1:29:38.50]-[1:29:58.50]  ¿Qué es lo que es?
[1:29:58.50]-[1:30:18.50]  ¿Qué es lo que es?
[1:30:18.50]-[1:30:38.50]  ¿Qué es lo que es?
[1:30:38.50]-[1:30:58.50]  ¿Qué es lo que es?
[1:30:58.50]-[1:31:18.50]  ¿Qué es lo que es?
[1:31:18.50]-[1:31:38.50]  ¿Qué es lo que es?
[1:31:38.50]-[1:32:03.50]  ¿Qué es lo que es?
[1:32:03.50]-[1:32:23.50]  ¿Qué es lo que es?
[1:32:23.50]-[1:32:48.50]  ¿Qué es lo que es?
[1:32:48.50]-[1:33:08.50]  ¿Qué es lo que es?
[1:33:08.50]-[1:33:28.50]  ¿Qué es lo que es?
[1:33:28.50]-[1:33:53.50]  ¿Qué es lo que es?
[1:33:53.50]-[1:34:13.50]  ¿Qué es lo que es?
[1:34:13.50]-[1:34:33.50]  ¿Qué es lo que es?
[1:34:33.50]-[1:34:58.50]  ¿Qué es lo que es?
[1:34:58.50]-[1:35:18.50]  ¿Qué es lo que es?
[1:35:18.50]-[1:35:43.50]  ¿Qué es lo que es?
[1:35:43.50]-[1:36:03.50]  ¿Qué es lo que es?
[1:36:03.50]-[1:36:28.50]  ¿Qué es lo que es?
[1:36:28.50]-[1:36:55.50]  ¿Qué es lo que es?
