[0:00:00.00]-[0:00:02.00]  ¿Se quiere granada o...?
[1:37:29.04]-[1:37:33.04]  Que no es de esta la mejor que se quede aquí porque dice que han entrado este año bien nueva
[1:37:33.04]-[1:37:39.04]  y claro, son mayores y la piquerdía algunas veces no sirve de nada porque
[1:37:39.04]-[1:37:43.04]  tú sabes que si tú siempre estás pendiente de una cosa o de otra
[1:37:43.04]-[1:37:46.04]  siempre te están llamando y eres la primera que entra.
[1:37:46.04]-[1:37:48.04]  ¿Qué suele pasar a ella?
[1:37:48.04]-[1:37:52.04]  O sea, aquí va el paro casi, prácticamente.
[1:37:52.04]-[1:37:56.04]  Ella el paro siempre lo está parando porque termina de un lado.
[1:37:56.04]-[1:37:58.04]  Ya la están llamando para otro.
[1:37:58.04]-[1:38:00.04]  Digo, hija, pues no aprovecha nunca el paro.
[1:38:00.04]-[1:38:03.04]  Déjate de llevarte un poco tiempo en casa y aprovecha el paro.
[1:38:03.04]-[1:38:05.04]  Que también es bueno aprovechar el paro, ¿no?
[1:38:05.04]-[1:38:06.04]  Y descampar un poquito.
[1:38:06.04]-[1:38:07.04]  Bueno.
[1:38:07.04]-[1:38:09.04]  Pero ¿sabes que lo tiene acotizado o no?
[1:38:09.04]-[1:38:10.04]  Claro.
[1:38:10.04]-[1:38:11.04]  Si no lo pierde.
[1:38:11.04]-[1:38:16.04]  ¿Y usted cuando se casó cómo fue la cosa?
[1:38:16.04]-[1:38:19.04]  Aparte de que se puso de acuerdo con su marido, claro.
[1:38:19.04]-[1:38:21.04]  ¿Cómo fue?
[1:38:21.04]-[1:38:25.04]  ¿Su marido entró en su casa, de sus padres?
[1:38:25.04]-[1:38:26.04]  Sí.
[1:38:26.04]-[1:38:27.04]  ¿Cómo era todo eso?
[1:38:27.04]-[1:38:32.04]  Pues nada, le pidió la entrada a mi padre y le dijo que sí
[1:38:32.04]-[1:38:34.04]  y nos llevamos hablándonos.
[1:38:34.04]-[1:38:38.04]  ¿Es otra ambulancia?
[1:38:38.04]-[1:38:41.04]  Parece que la escucho llevar.
[1:38:41.04]-[1:38:47.04]  Un año por ahí escasó y nos casamos en el verano por el mes de junio
[1:38:47.04]-[1:38:50.04]  y nos vinimos a vivir aquí, a esta casa.
[1:38:50.04]-[1:38:52.04]  ¿Desde entonces?
[1:38:52.04]-[1:38:54.04]  Sí, desde entonces.
[1:38:54.04]-[1:39:01.04]  Y nada, al año nació mi hija, la mayor, la mayor.
[1:39:01.04]-[1:39:06.04]  Y después nació mi mamá, la que está en Sevilla, a los tres años.
[1:39:06.04]-[1:39:11.04]  Después mi mamá, la que ha llamado por teléfono, la madre de mi hija.
[1:39:11.04]-[1:39:15.04]  Y la mayor es la más pequeña.
[1:39:15.04]-[1:39:24.04]  Mi hija tiene 22 años, la mayor tiene 36 a 37, mi mamá tiene 34
[1:39:24.04]-[1:39:29.04]  y mi mamá tiene 32 a 33.
[1:39:29.04]-[1:39:35.04]  Así que aquí está.
[1:39:35.04]-[1:39:38.04]  ¿Y usted todavía se casó de negro?
[1:39:38.04]-[1:39:43.04]  Muy de negro, no me digas que yo fui de largo con un traje muy bonito, blanco y tocado.
[1:39:43.04]-[1:39:45.04]  Yo no, de negro.
[1:39:45.04]-[1:39:47.04]  ¿Y su madre sí, supongo?
[1:39:47.04]-[1:39:48.04]  Mi madre tampoco.
[1:39:48.04]-[1:39:49.04]  Tampoco.
[1:39:49.04]-[1:39:51.04]  Mi madre se casó de azul con un traje.
[1:39:51.04]-[1:39:53.04]  Ah, bueno, de azul, pero quiero decir de oscuro.
[1:39:53.04]-[1:39:58.04]  Oscuro sí, pero no porque yo que sé, en aquel entonces no...
[1:39:58.04]-[1:40:01.04]  ¿Sabes tú que no se llevaban los blancos como ahora?
[1:40:01.04]-[1:40:08.04]  Bueno, ahora se llevan blancos, crudos, rojos, de todos los colores que te quieras poner.
[1:40:08.04]-[1:40:21.04]  Y mi madre ahora ha hecho año de casada, 23 años.
[1:40:21.04]-[1:40:22.04]  Una vuelta de sube.
[1:40:22.04]-[1:40:23.04]  ¿Tiene sueño?
[1:40:23.04]-[1:40:24.04]  No ha dormido, no.
[1:40:24.04]-[1:40:25.04]  Es que hemos dormido.
[1:40:25.04]-[1:40:26.04]  Habéis dormido poco, ¿no?
[1:40:26.04]-[1:40:27.04]  Sí, sí.
[1:40:27.04]-[1:40:31.04]  Llegamos trabajando y luego creas que no, se duerme peor.
[1:40:31.04]-[1:40:36.04]  Hombre, si no está acostumbrada, se siente... igual que esto iba a decir yo de mi madre.
[1:40:36.04]-[1:40:44.04]  Cuando se marchó de aquí a Huerva, pues a las nueve ya ya quería levantarse aquí en mi casa.
[1:40:44.04]-[1:40:51.04]  Al llegar allí, se puso mala con el constipado, se levantaba a las doce, a las una, aquí comía de todo.
[1:40:51.04]-[1:40:58.04]  A mí me decía mi hermana que no quería comer de nada y digo, esto es el cambio.
[1:40:58.04]-[1:41:08.04]  Igual que con el cambio del horario, por lo menos una semana hasta que tú... a mí me pasa esto, por lo menos.
[1:41:08.04]-[1:41:11.04]  A ustedes, ¿no?
[1:41:11.04]-[1:41:15.04]  El cambio de horario sí, todo el mundo se va a acostumbrarte con los cambios.
[1:41:15.04]-[1:41:19.04]  Uf, hasta que te acostumbres a...
[1:41:19.04]-[1:41:23.04]  Bueno, yo trabajo de noche.
[1:41:23.04]-[1:41:26.04]  ¿De noche? ¿Toda la noche trabajando?
[1:41:26.04]-[1:41:27.04]  En el hospital.
[1:41:27.04]-[1:41:29.04]  Por eso se duerme, por el viento.
[1:41:29.04]-[1:41:31.04]  Ah, ¿era enfermera, no?
[1:41:31.04]-[1:41:32.04]  Sí.
[1:41:32.04]-[1:41:34.04]  ¿Por qué?
[1:41:34.04]-[1:41:36.04]  Por el culto oral, con los niños.
[1:41:36.04]-[1:41:37.04]  Con los niños.
[1:41:37.04]-[1:41:40.04]  ¿Y los niños estos de Huerva?
[1:41:40.04]-[1:41:42.04]  Ay, se ha sabido algo eso.
[1:41:42.04]-[1:41:43.04]  ¿Qué?
[1:41:43.04]-[1:41:44.04]  Ay, que el DAC.
[1:41:44.04]-[1:41:53.04]  Sí, ahí hay una nueva investigación que iban a declarar los abuelos paternos, la madre y el padre.
[1:41:53.04]-[1:41:56.04]  Y los tíos por parte del padre.
[1:41:56.04]-[1:42:02.04]  Yo no estoy muy ardía ahora porque no veo a Toñi Moreno por la mañana, porque estoy trabajando.
[1:42:02.04]-[1:42:03.04]  Ay.
[1:42:03.04]-[1:42:04.04]  Pero...
[1:42:04.04]-[1:42:05.04]  Toñi Moreno que es el programa...
[1:42:05.04]-[1:42:07.04]  De Bien Arreglo.
[1:42:07.04]-[1:42:09.04]  ¿Quién es Toñi Moreno?
[1:42:09.04]-[1:42:10.04]  Pues, Toñi Moreno...
[1:42:10.04]-[1:42:11.04]  No es de NAS.
[1:42:11.04]-[1:42:15.04]  Toñi Moreno es de 75 Minutos también.
[1:42:15.04]-[1:42:19.04]  Pero no estaba en la primera cadena, en el...
[1:42:19.04]-[1:42:20.04]  De Cana Azul.
[1:42:20.04]-[1:42:21.04]  Ah, de Cana Azul.
[1:42:21.04]-[1:42:23.04]  De Cana Azul.
[1:42:23.04]-[1:42:24.04]  Ajá.
[1:42:24.04]-[1:42:27.04]  Entonces, para hacer de Cana Azul todas las fomigas.
[1:42:27.04]-[1:42:28.04]  Sí, otra vez de nuevo, sí.
[1:42:28.04]-[1:42:34.04]  Y el 25 de marzo parece que dijo que iba a salir el nuevo secreto de sumar.
[1:42:34.04]-[1:42:36.04]  ¿Y usted qué cree que se dice por el pueblo?
[1:42:36.04]-[1:42:37.04]  ¿Qué se dice por el pueblo?
[1:42:37.04]-[1:42:38.04]  De los niños.
[1:42:38.04]-[1:42:44.04]  Esos niños, ese dinero que él quitó del banco, eso no tiene usted de noticia.
[1:42:44.04]-[1:42:50.04]  Él quitó una cantidad de dinero que fue un poco...
[1:42:50.04]-[1:42:53.04]  ¿Quitó cuánto era? ¿4.000 euros?
[1:42:53.04]-[1:42:57.04]  Puede ser, una cartilla que tenía él con la hermana Margarita.
[1:42:57.04]-[1:43:03.04]  Y después unos bidones de gasoil que llegaron a la gasolinera.
[1:43:03.04]-[1:43:04.04]  Ay, eso no lo han dicho.
[1:43:04.04]-[1:43:06.04]  Sí, sí.
[1:43:06.04]-[1:43:08.04]  Sí lo han dicho.
[1:43:08.04]-[1:43:09.04]  Sí.
[1:43:09.04]-[1:43:10.04]  Sí.
[1:43:10.04]-[1:43:12.04]  ¿No ve que cuando mi madre estaba aquí, todos los días,
[1:43:12.04]-[1:43:14.04]  yo ya cuando era la hora de levantarla ella,
[1:43:14.04]-[1:43:17.04]  testafeándola, yo ponía la tele, otra tele que tengo allí,
[1:43:17.04]-[1:43:18.04]  y yo un poco me informaba de todo.
[1:43:18.04]-[1:43:21.04]  Si venía para acá a poner a comida lo que fuera, ponía esta.
[1:43:21.04]-[1:43:28.04]  Y entonces, pues, supuestamente ese gasoil,
[1:43:28.04]-[1:43:29.04]  ¿a quién se lo ha dado él?
[1:43:29.04]-[1:43:33.04]  En su coche no lo entró, los bombonas de gasoil.
[1:43:33.04]-[1:43:36.04]  Supuestamente ese los niños lo ha transportado a algún sitio
[1:43:36.04]-[1:43:42.04]  porque ahora la Maleneta de Francia era.
[1:43:42.04]-[1:43:45.04]  Que en Portugal se les apareció también,
[1:43:45.04]-[1:43:47.04]  supuestamente la están viendo en Málaga.
[1:43:47.04]-[1:43:48.04]  Ah.
[1:43:48.04]-[1:43:50.04]  Esta niña también desapareció aquí al lado.
[1:43:50.04]-[1:43:54.04]  Sí, ahí en Portugal.
[1:43:54.04]-[1:43:56.04]  Y esa tampoco se ha vuelto a saber nada.
[1:43:56.04]-[1:43:59.04]  Sí, sí, por lo menos estoy diciendo que está apareciendo ahora en Málaga.
[1:43:59.04]-[1:44:00.04]  ¿Ah, sí?
[1:44:00.04]-[1:44:03.04]  Sí.
[1:44:03.04]-[1:44:05.04]  Pues no, yo no lo sabía.
[1:44:05.04]-[1:44:07.04]  No veis mucho la tele, ¿no?
[1:44:07.04]-[1:44:10.04]  No.
[1:44:10.04]-[1:44:11.04]  No, yo sí la veo.
[1:44:11.04]-[1:44:14.04]  Claro, usted está aquí aseando a su madre y cuidándola
[1:44:14.04]-[1:44:16.04]  y también la entretiene a ella la madre.
[1:44:16.04]-[1:44:19.04]  Pues claro, se la pongo y ella la entretiene también la tele, pero...
[1:44:19.04]-[1:44:22.04]  Bueno, ¿y qué dice el pueblo entonces de los niños?
[1:44:22.04]-[1:44:23.04]  De los niños, por todo el mundo.
[1:44:23.04]-[1:44:29.04]  Dice que ese padre sabe dónde está porque el abogado,
[1:44:29.04]-[1:44:36.04]  José de Puerta, lo primero que cuando da la crónica de él,
[1:44:36.04]-[1:44:40.04]  dice que la primera pregunta que le hace es preguntarle por los niños.
[1:44:40.04]-[1:44:43.04]  Preguntarle por los niños, que dónde están los niños.
[1:44:43.04]-[1:44:45.04]  Él, el padre.
[1:44:45.04]-[1:44:46.04]  El padre.
[1:44:46.04]-[1:44:50.04]  Y después el padre, con los niños recién perdidos,
[1:44:50.04]-[1:44:53.04]  quiso llamar a una novia que había tenido,
[1:44:53.04]-[1:44:57.04]  la llamó y quedó con ella para tomar un café y toda esa historia.
[1:44:57.04]-[1:45:01.04]  Entonces, qué historia con eso, esta es una historia un poco chunga, ¿no?
[1:45:01.04]-[1:45:04.04]  Porque si tú tienes tus hijos perdidos de a de,
[1:45:04.04]-[1:45:07.04]  y ya mañana estás llamando tú a una novia que tuvieras tenido,
[1:45:07.04]-[1:45:10.04]  a una amiga o...
[1:45:10.04]-[1:45:13.04]  para quedar con ella para tomar un café y eso...
[1:45:13.04]-[1:45:15.04]  Díganlo, díganlo, ¿qué piensa?
[1:45:15.04]-[1:45:20.04]  Pues todo el mundo dice que piensa que el padre tiene los niños con alguien.
[1:45:20.04]-[1:45:22.04]  Ah, mejor, bueno, pues si es así.
[1:45:22.04]-[1:45:24.04]  Por lo menos no están muertos.
[1:45:24.04]-[1:45:25.04]  Es lo que yo me tenía.
[1:45:25.04]-[1:45:32.04]  La madre dice, dice, soy una mujer, soy viuda.
[1:45:32.04]-[1:45:37.04]  Ni soy viuda, ni soy separada.
[1:45:37.04]-[1:45:39.04]  ¿Cómo es la otra palabra que dice?
[1:45:39.04]-[1:45:44.04]  Porque me hago la cuenta que mis hijos los tengo como enterrados.
[1:45:44.04]-[1:45:47.04]  Porque como los niños no aparecen por ningún lado.
[1:45:47.04]-[1:45:53.04]  Y yo qué sé, de Bornea la ha llamado un amigo también,
[1:45:53.04]-[1:45:56.04]  que tenía él, que él estuvo en Bornea.
[1:45:56.04]-[1:45:59.04]  Que él tenía mucha amistad con este muchacho,
[1:45:59.04]-[1:46:02.04]  y este muchacho lo ha llamado para preguntarle.
[1:46:02.04]-[1:46:06.04]  Y piensa que a lo mejor él ha enviado los niños para Bornea.
[1:46:06.04]-[1:46:09.04]  Después decían de un hermano que vivía en... ¿dónde era?
[1:46:09.04]-[1:46:11.04]  ¿Cevillo o en Madrid?
[1:46:11.04]-[1:46:14.04]  Y pusieron carteles por el bloque del hermano.
[1:46:14.04]-[1:46:17.04]  Y el hermano dijo que por qué tenían que poner aquello por allí,
[1:46:17.04]-[1:46:20.04]  los carteles de los niños.
[1:46:20.04]-[1:46:28.04]  Y entonces dice que lo ponían, pues supuestamente a veces estaban los niños con el hermano de él.
[1:46:28.04]-[1:46:30.04]  Ay, que el hermano está en Bornea.
[1:46:30.04]-[1:46:33.04]  No, en Bornea es un amigo.
[1:46:33.04]-[1:46:36.04]  Un amigo. Y también los han puesto allí por si acaso.
[1:46:36.04]-[1:46:37.04]  Sí.
[1:46:37.04]-[1:46:41.04]  Bueno, por lo menos es que nosotros pensamos que están muertos.
[1:46:41.04]-[1:46:44.04]  Igual que Marta del Castillo.
[1:46:44.04]-[1:46:48.04]  Y Marta del Castillo, ahora hay otra nueva investigación me parece a mí,
[1:46:48.04]-[1:46:51.04]  que dice que es el padre.
[1:46:51.04]-[1:46:54.04]  Esto tiene tanta más.
[1:46:57.04]-[1:46:59.04]  Madre mía, tiene tanta más.
[1:46:59.04]-[1:47:01.04]  Ya hemos hecho eso.
[1:47:01.04]-[1:47:03.04]  ¿Qué es el segundo? ¿Dos de los dos?
[1:47:03.04]-[1:47:05.04]  Dos de los dos, ahora hay 45.
[1:47:05.04]-[1:47:08.04]  No sé qué más nos queda preguntarle.
[1:47:08.04]-[1:47:14.04]  ¿Usted a lo mejor se acuerda de algún relato que le contaran su madre, algún cuento?
[1:47:14.04]-[1:47:17.04]  Ah, de poesía y cosas de esas.
[1:47:17.04]-[1:47:20.04]  ¿Cuál es el cuento de niña? ¿Cuál que le contaban?
[1:47:20.04]-[1:47:25.04]  Mi madre me decía...
[1:47:28.04]-[1:47:31.04]  Yo tendré yo otro cogió, la flor de las parragueras.
[1:47:31.04]-[1:47:35.04]  Si la envidia fuera tiña, cuántos tiños se movieran.
[1:47:37.04]-[1:47:39.04]  Y después otro era...
[1:47:42.04]-[1:47:45.04]  Tio Juan Julio y su mujer tuvieron grandes cuestiones,
[1:47:45.04]-[1:47:48.04]  porque no podían comer calabaza con frijones.
[1:47:48.04]-[1:47:51.04]  Ella les decía, sal a cazar y matará a buenos lebrones,
[1:47:51.04]-[1:47:54.04]  y con eso no comeremos calabaza con frijones.
[1:47:54.04]-[1:47:57.04]  Esos eran relatos que daban antiguamente.
[1:47:57.04]-[1:47:59.04]  Sí.
[1:47:59.04]-[1:48:02.04]  Y yo no sé qué más.
[1:48:02.04]-[1:48:05.04]  ¿Y eso cuándo se contaba? ¿Cuándo? ¿Estaba en el invierno?
[1:48:05.04]-[1:48:07.04]  En el invierno, en la estufa.
[1:48:07.04]-[1:48:09.04]  En la estufa.
[1:48:09.04]-[1:48:11.04]  Y esto era un matrimonio.
[1:48:11.04]-[1:48:15.04]  Lo primero que te he dicho es cierto,
[1:48:15.04]-[1:48:19.04]  porque yo tendré yo otro cogió la flor de las parragueras.
[1:48:19.04]-[1:48:21.04]  Tú sabes lo que es la parragueras, ¿no?
[1:48:21.04]-[1:48:23.04]  Hay una flor...
[1:48:23.04]-[1:48:27.04]  Si la envidia fuera tiña, cuántos tiños se movieran.
[1:48:27.04]-[1:48:30.04]  Porque la envidia es mala.
[1:48:30.04]-[1:48:33.04]  Y si la envidia fuera tiña, tiña sabe lo que es, ¿no?
[1:48:33.04]-[1:48:34.04]  Una enfermedad.
[1:48:34.04]-[1:48:36.04]  Cuántos tiños se movieran.
[1:48:36.04]-[1:48:39.04]  Esto me lo enseñaba a mí una señora mayor,
[1:48:39.04]-[1:48:42.04]  que era la que cuidaba la ayuda de un inficio.
[1:48:42.04]-[1:48:45.04]  Y el segundo?
[1:48:45.04]-[1:48:47.04]  Y el segundo, mi madre.
[1:48:47.04]-[1:48:51.04]  Era un matrimonio que no tenían para comer en aquel entonces.
[1:48:51.04]-[1:48:54.04]  Y decía que Juan Jusy y su mujer,
[1:48:54.04]-[1:48:57.04]  Juan Jusy y la mujer, tuvieron grandes cuestiones.
[1:48:57.04]-[1:48:59.04]  Grandes cuestiones peleando.
[1:48:59.04]-[1:49:02.04]  Porque Juan Jusy y su mujer tuvieron grandes cuestiones.
[1:49:02.04]-[1:49:04.04]  Porque no...
[1:49:04.04]-[1:49:06.04]  Que me ha dicho.
[1:49:06.04]-[1:49:08.04]  Que Juan Jusy y su mujer tuvieron grandes cuestiones.
[1:49:08.04]-[1:49:10.04]  No tenían para comer.
[1:49:10.04]-[1:49:12.04]  No tenían para comer calabaza con...
[1:49:12.04]-[1:49:15.04]  Porque los que tenían para comer calabaza con frijones.
[1:49:15.04]-[1:49:17.04]  Y ella le decía,
[1:49:17.04]-[1:49:19.04]  sale a cazar,
[1:49:19.04]-[1:49:21.04]  que saliera de cacería, matará buenos lebrones,
[1:49:21.04]-[1:49:24.04]  y con eso no comeremos calabaza con frijones.
[1:49:26.04]-[1:49:29.04]  O sea, que ella le decía que se tenía que espabilar...
[1:49:29.04]-[1:49:31.04]  Claro, que se tenía que espabilar porque no se movería,
[1:49:31.04]-[1:49:34.04]  y entonces tendría muchos niños en aquel entonces,
[1:49:34.04]-[1:49:35.04]  y tendría que...
[1:49:35.04]-[1:49:36.04]  Que alimentarlo.
[1:49:36.04]-[1:49:39.04]  Que alimentarlo y le decía que saliera a cazar,
[1:49:39.04]-[1:49:41.04]  y mataría buenos lebrones.
[1:49:41.04]-[1:49:44.04]  Los lebrones fueron las liebres, los más chicos,
[1:49:44.04]-[1:49:46.04]  y los conejos.
[1:49:46.04]-[1:49:48.04]  Los conejos también los perdió muy bien,
[1:49:48.04]-[1:49:49.04]  le quitó la piel.
[1:49:49.04]-[1:49:50.04]  Y las liebres.
[1:49:50.04]-[1:49:51.04]  Caza sí que hay aquí mucha.
[1:49:51.04]-[1:49:53.04]  Mi marido es cargado también.
[1:49:53.04]-[1:49:55.04]  ¿Y qué tal?
[1:49:55.04]-[1:49:58.04]  Pues conejos, liebres, pervice.
[1:49:58.04]-[1:50:01.04]  Pájaros pequeñitos también los coge con trampitas.
[1:50:01.04]-[1:50:05.04]  Y tengo dos nietos, el de 14 años y el de Sevilla,
[1:50:05.04]-[1:50:06.04]  ellos son como el abuelo.
[1:50:06.04]-[1:50:10.04]  Aficionados a la cacería y son de la mano zurdeta.
[1:50:10.04]-[1:50:11.04]  Trabajan con la mano zurdeta.
[1:50:11.04]-[1:50:14.04]  Estudié y leé y escribí.
[1:50:14.04]-[1:50:15.04]  ¿Aquí cómo llaman?
[1:50:15.04]-[1:50:17.04]  La mano zurdeta.
[1:50:17.04]-[1:50:18.04]  Zurdeta.
[1:50:19.04]-[1:50:21.04]  O sea, que no dicen la mano izquierda,
[1:50:21.04]-[1:50:22.04]  dicen la mano zurdeta.
[1:50:22.04]-[1:50:23.04]  Zurda.
[1:50:23.04]-[1:50:24.04]  Zurdeta.
[1:50:24.04]-[1:50:25.04]  Muy bien.
[1:50:26.04]-[1:50:28.04]  ¿Y cazan con la mano zurdeta también?
[1:50:28.04]-[1:50:29.04]  Mi marido sí.
[1:50:30.04]-[1:50:32.04]  Mi marido hace todo con la mano izquierda,
[1:50:32.04]-[1:50:35.04]  menos comer, que comer con la derecha.
[1:50:35.04]-[1:50:36.04]  Porque le enseñaron.
[1:50:36.04]-[1:50:37.04]  Sí.
[1:50:37.04]-[1:50:40.04]  Fue ayer cuando iba al colegio, porque fue al colegio en el campo.
[1:50:40.04]-[1:50:41.04]  Ajá.
[1:50:41.04]-[1:50:44.04]  ¿Y usted no nos ha dicho al final si fue al colegio?
[1:50:44.04]-[1:50:46.04]  Sí, claro que fui al colegio allí en el campo.
[1:50:46.04]-[1:50:48.04]  Yo tengo el graduado de estudios primarios y todo.
[1:50:48.04]-[1:50:50.04]  ¿Tiene el graduado de estudios primarios?
[1:50:50.04]-[1:50:51.04]  Sí.
[1:50:51.04]-[1:50:54.04]  ¿Y estuvo entonces yendo al colegio hasta los 14 años?
[1:50:54.04]-[1:50:55.04]  Hasta los 14 años.
[1:50:55.04]-[1:50:58.04]  Es que usted es muy joven, señora Quemos.
[1:50:58.04]-[1:50:59.04]  Claro.
[1:50:59.04]-[1:51:02.04]  Pero quizá a lo mejor no se haya explicado tanto como yo.
[1:51:02.04]-[1:51:05.04]  No, no, se ha explicado un montón.
[1:51:07.04]-[1:51:09.04]  ¿Y pero dónde iba al colegio?
[1:51:09.04]-[1:51:12.04]  Allí en el río Guadiana, un colegio que había.
[1:51:12.04]-[1:51:15.04]  Y una profesora vino una vez, una de Madrid.
[1:51:15.04]-[1:51:16.04]  Se llamaba...
[1:51:19.04]-[1:51:24.04]  Ya habrá muerto porque tendría 25 años, 26.
[1:51:24.04]-[1:51:27.04]  Y después vino otra de Bonare, otra de Huerta.
[1:51:27.04]-[1:51:30.04]  Cada curso venía una maestra distinta.
[1:51:30.04]-[1:51:32.04]  ¿Es donde usted vivía en el campo pero venía aquí?
[1:51:32.04]-[1:51:38.04]  No, no, la maestra vivía allí porque había un edificio grande con la escuela.
[1:51:38.04]-[1:51:42.04]  Y una casita al lado que la hizo el asuntamiento de Ayamonte
[1:51:42.04]-[1:51:44.04]  porque ella pertenece a Ayamonte.
[1:51:44.04]-[1:51:48.04]  Entonces tenía dos habitaciones, un comedor, la cocinita y el cuarto de buceo.
[1:51:48.04]-[1:51:50.04]  Y vivía la maestra allí.
[1:51:50.04]-[1:51:53.04]  Se iba o bien con la madre o con la abuela
[1:51:53.04]-[1:51:57.04]  o si estaba con el marido o alguien de familia.
[1:51:57.04]-[1:51:59.04]  ¿Y los niños venían de todo el reto?
[1:51:59.04]-[1:52:01.04]  Eso, íbamos a ir al colegio.
[1:52:01.04]-[1:52:05.04]  Entrábamos a las nueve y salíamos a las dos a comer.
[1:52:05.04]-[1:52:07.04]  Después entrábamos a las tres hasta las cinco,
[1:52:07.04]-[1:52:09.04]  en la hora de antiguo.
[1:52:09.04]-[1:52:11.04]  No como ahora con nada interstino.
[1:52:11.04]-[1:52:14.04]  Mejor, mejor, a los niños y tal.
[1:52:14.04]-[1:52:16.04]  Pero la madre que está trabajando...
[1:52:16.04]-[1:52:18.04]  ¿No da tanto placer como antes?
[1:52:18.04]-[1:52:19.04]  Las madres que están trabajando...
[1:52:19.04]-[1:52:22.04]  Donde vive mi hija es distinto.
[1:52:22.04]-[1:52:25.04]  Porque allí hay una guardería temporera.
[1:52:25.04]-[1:52:27.04]  ¿Cómo se dice?
[1:52:27.04]-[1:52:30.04]  Pues ella tiene el niño de diez años, de diez para once,
[1:52:30.04]-[1:52:32.04]  que la sabe más.
[1:52:32.04]-[1:52:35.04]  Y es chiquitito, excepto en la guardería.
[1:52:35.04]-[1:52:38.04]  Entonces entra a las siete de la mañana
[1:52:38.04]-[1:52:40.04]  y ella cuando está trabajando allí en la acechuna
[1:52:40.04]-[1:52:44.04]  lo recoge a las dos y media
[1:52:44.04]-[1:52:46.04]  porque ya llega ahora a casa.
[1:52:46.04]-[1:52:50.04]  Pero cuando el otro grande era pequeñito
[1:52:50.04]-[1:52:52.04]  lo llevaba a la guardería temporera.
[1:52:52.04]-[1:52:55.04]  De la guardería temporera le daban el desayuno.
[1:52:55.04]-[1:52:58.04]  Si era muy temprano lo acostaban en sus cunitas
[1:52:58.04]-[1:53:01.04]  y lo pasaban después al colegio.
[1:53:01.04]-[1:53:04.04]  Tomaban desayuno en la guardería.
[1:53:04.04]-[1:53:08.04]  Almuerzo en el comedor del colegio.
[1:53:08.04]-[1:53:12.04]  Y si salían del colegio y la madre no había llegado
[1:53:12.04]-[1:53:14.04]  otra vez pasaba a la guardería temporera.
[1:53:14.04]-[1:53:16.04]  Y no pagaba nada. Ahora ella pasa.
[1:53:16.04]-[1:53:20.04]  Ahora se calma por todo.
[1:53:20.04]-[1:53:23.04]  Ah, gracias.
[1:53:23.04]-[1:53:25.04]  Pero no me puedo mover aquí.
[1:53:25.04]-[1:53:28.04]  Bueno, sí, le podemos parar esto y ya sí.
[1:53:28.04]-[1:53:31.04]  ¿A mí en darón?
[1:53:31.04]-[1:53:34.04]  ¿Usted aquí a todo el pueblo le vende productos cosméticos?
[1:53:34.04]-[1:53:37.04]  Sí, cuando ven que hay psicófono de malas ventas
[1:53:37.04]-[1:53:40.04]  la supervíctora es subrina mía.
[1:53:40.04]-[1:53:43.04]  Coge y me manda por su cuenta lo que yo le parece.
[1:53:43.04]-[1:53:47.04]  Y vino la madre y se lo dije, digo, compré este perfume.
[1:53:47.04]-[1:53:49.04]  Dice, pues sí, lo voy a llevar.
[1:53:49.04]-[1:53:52.04]  La hija la ha visto, sale esta, que no me está para que me vaya.
[1:53:52.04]-[1:53:54.04]  Digo, va a tener un niño español.
[1:53:54.04]-[1:53:57.04]  Pero no está viviendo con nadie, ¿sí?
[1:53:57.04]-[1:54:00.04]  Sí, tiene su marido, que es el primer niño que va a tener.
[1:54:00.04]-[1:54:01.04]  ¿El marido es polaco?
[1:54:01.04]-[1:54:02.04]  Polaco también.
[1:54:02.04]-[1:54:04.04]  No, ruman, no es ruman.
[1:54:04.04]-[1:54:06.04]  Pero al niño lo va a tener aquí.
[1:54:06.04]-[1:54:07.04]  No, se marchará.
[1:54:07.04]-[1:54:10.04]  Ah, vale, pero que no es de un español.
[1:54:10.04]-[1:54:12.04]  No, no, es de su marido que está aquí también.
[1:54:12.04]-[1:54:15.04]  Se está quitando el carnet de camiones aquí.
[1:54:15.04]-[1:54:17.04]  Ah.
[1:54:17.04]-[1:54:18.04]  ¿Cómo se está?
[1:54:18.04]-[1:54:20.04]  El carnet de camiones.
[1:54:20.04]-[1:54:22.04]  Porque tiene carnet de coches solamente.
[1:54:22.04]-[1:54:24.04]  Es de tercera, ¿no?
[1:54:24.04]-[1:54:25.04]  El de camiones de tercera.
[1:54:25.04]-[1:54:28.04]  Se lo está quitando aquí en Villa Blanca.
[1:54:28.04]-[1:54:32.04]  Cuando viene de trabajar va a Prat y a Plataro de ahí y se lo quita.
[1:54:36.04]-[1:54:38.04]  Bueno, pues yo creo que nos vamos a...
[1:54:38.04]-[1:54:40.04]  Yo voy a poner el cubito de café.
[1:54:40.04]-[1:54:44.04]  No, no se preocupe, si no vaya a hacer, tiene que ser así.
[1:54:44.04]-[1:54:45.04]  ¿Por qué?
[1:54:45.04]-[1:54:48.04]  No, porque tengo una chiquita para acompañar de alguna.
[1:54:48.04]-[1:54:49.04]  A ver, ¿qué?
[1:54:49.04]-[1:54:50.04]  Es que si tomo café, a partir de esa...
[1:54:50.04]-[1:54:52.04]  Pero con leche no, con leche no te gusta.
[1:54:52.04]-[1:54:53.04]  Te voy a quitar la leche.
[1:54:53.04]-[1:54:54.04]  No, venga.
