[0:00:00.00]-[0:00:01.00]  Mira.
[1:35:15.00]-[1:35:17.00]  ¿Por qué tiene muchas esculturas
[1:35:17.00]-[1:35:19.00]  de animales?
[1:35:19.00]-[1:35:21.00]  Se ponen, se ponen mucho así.
[1:35:21.00]-[1:35:23.00]  Otro, en la puerta de la panadería,
[1:35:23.00]-[1:35:25.00]  un chozo de un pastor.
[1:35:25.00]-[1:35:27.00]  Una pastora y un pastor, como antes era.
[1:35:27.00]-[1:35:29.00]  En los campos con los pastores.
[1:35:29.00]-[1:35:31.00]  Y te hicimos su gallina.
[1:35:31.00]-[1:35:33.00]  Le hice una gallina.
[1:35:33.00]-[1:35:35.00]  Los gatos de Nostrebuena,
[1:35:35.00]-[1:35:37.00]  las plumas, guardadas.
[1:35:37.00]-[1:35:39.00]  Y todas las plumas así,
[1:35:39.00]-[1:35:41.00]  guardadas.
[1:35:41.00]-[1:35:43.00]  Y cuando me dieron y vengan,
[1:35:43.00]-[1:35:45.00]  en una bolsa tenía todas sequitas,
[1:35:45.00]-[1:35:47.00]  allí guardadas.
[1:35:47.00]-[1:35:49.00]  Hice mi gallina, de trapo.
[1:35:49.00]-[1:35:51.00]  Y encima, tuve toda la paciencia
[1:35:51.00]-[1:35:53.00]  de ir poniéndole...
[1:35:53.00]-[1:35:55.00]  Algunos eran los cachos grandes.
[1:35:55.00]-[1:35:57.00]  Los espetéon así.
[1:35:57.00]-[1:35:59.00]  De ir poniéndole sus plumitas, como las gallinas.
[1:35:59.00]-[1:36:01.00]  Así, puestas.
[1:36:01.00]-[1:36:03.00]  Su barro y dos o tres
[1:36:03.00]-[1:36:05.00]  potitos.
[1:36:05.00]-[1:36:07.00]  Eso lo expulsa la pastora.
[1:36:07.00]-[1:36:09.00]  La pastora atendiendo un alambre, una cuerda.
[1:36:09.00]-[1:36:11.00]  Y una camisa y unos calzones blancos.
[1:36:11.00]-[1:36:13.00]  Como antes era.
[1:36:13.00]-[1:36:15.00]  Los calzones blancos del pastor y la camisa de la pastora.
[1:36:15.00]-[1:36:17.00]  Se agitarían los pobres cuando podían.
[1:36:17.00]-[1:36:19.00]  Y allí tendrían.
[1:36:19.00]-[1:36:21.00]  A eso ahí ganamos el premio, claro.
[1:36:21.00]-[1:36:23.00]  ¿Y eso por qué se hace?
[1:36:23.00]-[1:36:25.00]  Porque esos de aquí, luego vienen
[1:36:25.00]-[1:36:27.00]  por la calle con las escopetas y
[1:36:27.00]-[1:36:29.00]  vienen dando los tiros.
[1:36:29.00]-[1:36:31.00]  Ah, pero los ponen allí en la calle.
[1:36:31.00]-[1:36:33.00]  Los ponen allí.
[1:36:33.00]-[1:36:35.00]  Y ahí para abajo, como te he visto,
[1:36:35.00]-[1:36:37.00]  la cuerda, las cosas colgadas.
[1:36:37.00]-[1:36:39.00]  Y el pastor
[1:36:39.00]-[1:36:41.00]  en dos cabras que tenía aquí a un lado.
[1:36:41.00]-[1:36:43.00]  De cabras esas también.
[1:36:43.00]-[1:36:45.00]  Puesto allí con un garrote.
[1:36:45.00]-[1:36:47.00]  Y la pastora atendiendo en el alambre.
[1:36:47.00]-[1:36:49.00]  Todas esas cosas así.
[1:36:51.00]-[1:36:53.00]  Me han gustado todas esas cosas
[1:36:53.00]-[1:36:55.00]  siempre.
[1:36:55.00]-[1:36:57.00]  Y nos hemos leído aquí las vecinas, pues házselo.
[1:36:57.00]-[1:36:59.00]  Y siempre ha venido.
[1:36:59.00]-[1:37:01.00]  Y siempre tiene que venir.
[1:37:01.00]-[1:37:03.00]  Si quizá que no me...
[1:37:03.00]-[1:37:05.00]  O vamos a hacerlo.
[1:37:05.00]-[1:37:07.00]  Y ya está.
[1:37:07.00]-[1:37:09.00]  ¿Y eso se ganan premios?
[1:37:09.00]-[1:37:11.00]  Sí.
[1:37:11.00]-[1:37:13.00]  Ganábamos cinco,
[1:37:13.00]-[1:37:15.00]  nos daban diez euros.
[1:37:15.00]-[1:37:17.00]  Nosotros hasta veintitrés euros nos dieron uno.
[1:37:19.00]-[1:37:21.00]  Que eran dos mulas,
[1:37:21.00]-[1:37:23.00]  una parva.
[1:37:23.00]-[1:37:25.00]  En el medio, no sé si usted
[1:37:25.00]-[1:37:27.00]  habría oído eso, cuando te tirabas
[1:37:27.00]-[1:37:29.00]  en la acera.
[1:37:29.00]-[1:37:31.00]  En una era.
[1:37:31.00]-[1:37:33.00]  Y el que estaba
[1:37:33.00]-[1:37:35.00]  trillando con los cabretos cogidos
[1:37:35.00]-[1:37:37.00]  y las bestias así trillando a otra vuelta.
[1:37:37.00]-[1:37:39.00]  Y claro.
[1:37:41.00]-[1:37:43.00]  El cantante cuando cantaba
[1:37:43.00]-[1:37:45.00]  y nada más poníamos un poco entonces
[1:37:45.00]-[1:37:47.00]  si hubiéramos tenido una cosa de chaparro
[1:37:47.00]-[1:37:49.00]  hubiera cantado uno.
[1:37:49.00]-[1:37:51.00]  Y luego si hubiera puesto al tiempo de estar las mulas trillando
[1:37:51.00]-[1:37:53.00]  se le hubiera puesto el que cantaba
[1:37:53.00]-[1:37:55.00]  cuando cantaban las mulas.
[1:37:55.00]-[1:37:57.00]  Los muleros, les decían los muleros.
[1:37:59.00]-[1:38:01.00]  Pero,
[1:38:01.00]-[1:38:03.00]  qué tiempo pasaron.
[1:38:03.00]-[1:38:05.00]  Qué tiempo han pasado.
[1:38:05.00]-[1:38:07.00]  Y venía gente de otros
[1:38:07.00]-[1:38:09.00]  de otras pueblos.
[1:38:09.00]-[1:38:11.00]  Sí, y venía mucha gente fratera.
[1:38:11.00]-[1:38:13.00]  Ahora que golpan esta
[1:38:13.00]-[1:38:15.00]  aquí, bueno, ahí mismo me hicieron unos
[1:38:15.00]-[1:38:17.00]  estiquillos de cosas,
[1:38:17.00]-[1:38:19.00]  como eso que sale en la tele de los...
[1:38:19.00]-[1:38:21.00]  ¿Cómo les daban? Que ponen los estiquillos en los dibujos.
[1:38:21.00]-[1:38:23.00]  O pitujos, no sé cómo se dicen.
[1:38:23.00]-[1:38:25.00]  ¿Pitujos?
[1:38:25.00]-[1:38:27.00]  Pitufos de esos, de ahí.
[1:38:27.00]-[1:38:29.00]  De los chiquillos de la escuela y
[1:38:29.00]-[1:38:31.00]  ahí pusieron. Y de atrás abajo en la
[1:38:31.00]-[1:38:33.00]  panadería, pues pusieron
[1:38:33.00]-[1:38:35.00]  otros también.
[1:38:35.00]-[1:38:37.00]  Y dice que había un hondo
[1:38:37.00]-[1:38:39.00]  y estaba con la pala metiendo el pan.
[1:38:41.00]-[1:38:43.00]  Pero muchas...
[1:38:43.00]-[1:38:45.00]  Ah, y ahí para el paseo, para arriba, para acá
[1:38:45.00]-[1:38:47.00]  pusieron uno
[1:38:47.00]-[1:38:49.00]  y ponían al alcalde
[1:38:49.00]-[1:38:51.00]  que ha visto antes aquí
[1:38:51.00]-[1:38:53.00]  y ponían unas pocas críticas.
[1:38:55.00]-[1:38:57.00]  Cada uno ponía lo que quería ver,
[1:38:57.00]-[1:38:59.00]  que estaba... como ha visto al cardíaco
[1:38:59.00]-[1:39:01.00]  que ha rentado. Pues ahí dice que
[1:39:01.00]-[1:39:03.00]  de miedo una crítica.
[1:39:03.00]-[1:39:05.00]  Y esa cosa está así.
[1:39:07.00]-[1:39:09.00]  Pero, vamos.
[1:39:11.00]-[1:39:13.00]  Bueno, no puedo ahora mismo
[1:39:13.00]-[1:39:15.00]  ni...
[1:39:15.00]-[1:39:17.00]  Yo más o menos hago porque no puedo hablar.
[1:39:17.00]-[1:39:19.00]  Pero mira, otra vez
[1:39:19.00]-[1:39:21.00]  tengo que ir a...
