[0:00:00.00]-[0:00:02.00]  ¿Usted nació aquí entonces?
[1:13:29.62]-[1:13:30.62]  El horno es una...
[1:13:30.62]-[1:13:31.62]  El horno tiene...
[1:13:31.62]-[1:13:32.62]  El pan después...
[1:13:32.62]-[1:13:33.62]  Una dicubertura que ya tiene.
[1:13:33.62]-[1:13:34.62] ...que nos habrán dicho.
[1:13:34.62]-[1:13:35.62]  ¿Cuál?
[1:13:35.62]-[1:13:39.62]  El pan después de hecho de hacer así se ponía en una cama.
[1:13:39.62]-[1:13:42.62]  Bueno, ya es otra la edad, es igual.
[1:13:42.62]-[1:13:43.62]  Claro.
[1:13:43.62]-[1:13:44.62]  Y ahí se quedaba.
[1:13:44.62]-[1:13:45.62]  Después se cogía...
[1:13:45.62]-[1:13:46.62]  Como una tabla.
[1:13:46.62]-[1:13:52.62] ...a llevarlo al horno en unas tablas muy largas y se iban poniendo los panes uno así encima de otro.
[1:13:52.62]-[1:13:55.62]  Pero que no estuvieran pegados así solo al...
[1:13:55.62]-[1:13:56.62] ...a el socalle, así.
[1:13:56.62]-[1:13:57.62]  Sí, sí, sí.
[1:13:57.62]-[1:13:58.62]  Así se ponía.
[1:13:58.62]-[1:13:59.62]  ¿Sabes?
[1:13:59.62]-[1:14:00.62]  Tocándonos corto.
[1:14:00.62]-[1:14:01.62]  Pero el horno es esto.
[1:14:01.62]-[1:14:02.62]  El horno es un...
[1:14:02.62]-[1:14:03.62]  ¿Cómo se llevaban al horno?
[1:14:03.62]-[1:14:04.62]  En una tabla grande.
[1:14:04.62]-[1:14:05.62]  El horno es esto.
[1:14:05.62]-[1:14:06.62]  ¿Cómo se metían todos al horno?
[1:14:06.62]-[1:14:08.62]  Tiene estas dicuferencias al horno así.
[1:14:08.62]-[1:14:09.62]  O más, más larga.
[1:14:09.62]-[1:14:11.62]  Y iban metiendo así poco a poco, poco a poco.
[1:14:11.62]-[1:14:12.62]  Y es así, ovalado.
[1:14:12.62]-[1:14:13.62]  El horno es esto.
[1:14:13.62]-[1:14:14.62]  Mira, así.
[1:14:14.62]-[1:14:15.62]  Va así.
[1:14:15.62]-[1:14:17.62]  Esta es la torta que le embabamos, la torta.
[1:14:17.62]-[1:14:18.62]  ¿Verdad?
[1:14:18.62]-[1:14:19.62]  Y esta es la bomba del horno.
[1:14:19.62]-[1:14:21.62]  Que esto va cubierto.
[1:14:21.62]-[1:14:24.62]  Y aquí hay una boca.
[1:14:24.62]-[1:14:27.62]  Y por esta boca se mete aquí.
[1:14:27.62]-[1:14:29.62]  Para las dicuferencias del horno.
[1:14:29.62]-[1:14:31.62]  Que el horno es que está tapado con esto.
[1:14:31.62]-[1:14:33.62]  Va cubierto de barro todo con adobes.
[1:14:33.62]-[1:14:35.62]  Y esto se llama torta.
[1:14:35.62]-[1:14:39.62]  Y aquí atrás, por aquí, es la boca.
[1:14:39.62]-[1:14:43.62]  Pero aquí abajo, por debajo de esto, hay otra boca.
[1:14:43.62]-[1:14:45.62]  Que es por donde se mete el alumbro.
[1:14:45.62]-[1:14:46.62]  Y se arrocia.
[1:14:46.62]-[1:14:48.62]  Se tiraba la mano con la mano.
[1:14:48.62]-[1:14:53.62]  Y salía por aquí, un cimiento que había así puesto.
[1:14:53.62]-[1:14:56.62]  Por ahí salía la llama.
[1:14:56.62]-[1:15:00.62]  Y la llama que salía para el horno dentro, para la bomba esa que se llama.
[1:15:00.62]-[1:15:02.62]  Eso no calentaba todo.
[1:15:02.62]-[1:15:03.62]  Calentaba todo.
[1:15:03.62]-[1:15:05.62]  Calentaba el suelo y calentaba todo.
[1:15:05.62]-[1:15:08.62]  Que estaba eso, pues, ya sabes, como un fuego.
[1:15:08.62]-[1:15:10.62]  Y es cuando se metía el pan.
[1:15:10.62]-[1:15:12.62]  Metía después una vez un papel.
[1:15:12.62]-[1:15:14.62]  Pues ya está, ya está caldeado el horno.
[1:15:14.62]-[1:15:16.62]  Se veía que ya estaba en su punto de calentamiento.
[1:15:16.62]-[1:15:18.62]  Se metía el pan, se limpiaba el suelo.
[1:15:18.62]-[1:15:20.62]  Se metía el pan y a escocer el pan.
[1:15:20.62]-[1:15:22.62]  Y ya los miraban cada un cuando, cuando.
[1:15:22.62]-[1:15:25.62]  Pues parece que ya, pues parece que no tiene buen color todavía.
[1:15:25.62]-[1:15:26.62]  O ahora, otro poco.
[1:15:26.62]-[1:15:28.62]  ¿Y cómo llamaban a los panes?
[1:15:28.62]-[1:15:29.62]  Pan.
[1:15:29.62]-[1:15:30.62]  ¿No llamaban oazas?
[1:15:30.62]-[1:15:31.62]  No, aquí no.
[1:15:31.62]-[1:15:34.62]  Oazas no, la oazas era para otra parte de ahí.
[1:15:34.62]-[1:15:35.62]  Pastores y por ahí.
[1:15:35.62]-[1:15:36.62]  Aquí siempre pan.
[1:15:36.62]-[1:15:39.62]  ¿No hacían lechuginos como en Valladolid?
[1:15:39.62]-[1:15:41.62]  Nada de eso, nada de eso.
[1:15:41.62]-[1:15:43.62]  ¿Así marcando con una llave?
[1:15:43.62]-[1:15:44.62]  Nada, nada.
[1:15:44.62]-[1:15:45.62]  Entonces, las llavías al pan.
[1:15:45.62]-[1:15:48.62]  Si hacían así, pues, cortaban así unos canteros que se llamaba.
[1:15:48.62]-[1:15:51.62]  Los canteros, no era que algún pan.
[1:15:51.62]-[1:15:54.62]  Y a veces, como era como esto para llevar los canteros.
[1:15:54.62]-[1:15:56.62]  No me lo voy a decir.
[1:15:56.62]-[1:15:59.62]  Pero antes se hacía cuatro.
[1:15:59.62]-[1:16:02.62]  Uno, dos, tres y cuatro.
[1:16:02.62]-[1:16:03.62]  Y dejémosle canteros.
[1:16:03.62]-[1:16:06.62]  Y el otro, pues sin hacer canteros ni nada.
[1:16:06.62]-[1:16:08.62]  Y estos eran los panes parecidos a estos.
[1:16:08.62]-[1:16:09.62]  Un poco mayores.
[1:16:09.62]-[1:16:11.62]  Bueno, pero parecidos a estos.
[1:16:11.62]-[1:16:13.62]  Y estos panes no les daban lo que ellos.
[1:16:13.62]-[1:16:14.62]  Y en 10.
[1:16:14.62]-[1:16:17.62]  Estaba más sentido el cantero que ahora.
[1:16:17.62]-[1:16:20.62]  En estos panes, ellos tienen 10 días y les comíamos 10.
[1:16:20.62]-[1:16:21.62]  ¿Dónde les comían 10?
[1:16:21.62]-[1:16:23.62]  ¿Dónde les comían 10?
[1:16:23.62]-[1:16:26.62]  ¿Dónde les comían 10?
[1:16:26.62]-[1:16:27.62]  Ahora es el día.
[1:16:27.62]-[1:16:29.62]  Esto es lo que me compro para mañana.
[1:16:29.62]-[1:16:31.62]  ¿Estuvieron haciendo aquí los panes?
[1:16:31.62]-[1:16:33.62]  No, vienen los panes de...
[1:16:33.62]-[1:16:35.62]  Estos ya son los deletres.
[1:16:35.62]-[1:16:36.62]  Estos son los deletres.
[1:16:36.62]-[1:16:37.62]  ¿Qué se supone que hacen?
[1:16:37.62]-[1:16:38.62]  Vienen de guiapardo.
[1:16:38.62]-[1:16:40.62]  Los traen aquí, vienen los panaderos.
[1:16:40.62]-[1:16:43.62]  ¿No crean el pan entre las familias?
[1:16:43.62]-[1:16:44.62]  No, no ahora.
[1:16:44.62]-[1:16:45.62]  Cada uno lo suyo.
[1:16:45.62]-[1:16:49.62]  O sea, el matrimonio en mi casa, mis padres, mi madre,
[1:16:49.62]-[1:16:54.62]  el que le hacía para nosotros, el otro... A lo mejor se ayudaba una señora a la otra, ¿entiendes?
[1:16:54.62]-[1:16:57.62]  Pero no, es decir, el pan era cada uno suyo.
[1:16:57.62]-[1:16:59.62]  Se podía hacer, pero no, eso no.
[1:16:59.62]-[1:17:01.62]  Para varias familias ni hablar de eso.
[1:17:01.62]-[1:17:02.62]  ¿Ustedes hacían matanzas?
[1:17:02.62]-[1:17:06.62]  Sí, mujer, sí, yo he matado hasta el año pasado.
[1:17:06.62]-[1:17:08.62]  Bueno, ya dos años que no mato.
[1:17:08.62]-[1:17:09.62]  Dos años.
[1:17:09.62]-[1:17:10.62]  Ya no puedo, estoy estropeado.
[1:17:10.62]-[1:17:11.62]  ¿Usted no se hacía la matanza?
[1:17:11.62]-[1:17:15.62]  Las matanzas, pues tenía su cochinillo en casa.
[1:17:15.62]-[1:17:18.62]  No se va, va sin la cocina, me te digo yo cómo es hablante de cocina.
[1:17:18.62]-[1:17:21.62]  Una pocilga, tenías uno o dos, depende.
[1:17:21.62]-[1:17:23.62]  Yo he matado uno y he matado hasta dos.
[1:17:23.62]-[1:17:24.62]  ¿Y a los dos?
[1:17:24.62]-[1:17:25.62]  Se han matado dos.
[1:17:25.62]-[1:17:27.62]  En casa, los se han matado en casa.
[1:17:27.62]-[1:17:28.62]  ¿Se les creía pequeñicos?
[1:17:28.62]-[1:17:30.62]  Es que los pagaban de tostón.
[1:17:30.62]-[1:17:31.62]  ¿Pecañicos?
[1:17:31.62]-[1:17:35.62]  O por 12 kilos, 14 kilos o cosas así aproximadamente.
[1:17:35.62]-[1:17:40.62]  Y ya en el tiempo de diciembre, era por...
[1:17:40.62]-[1:17:44.62]  por 8 de diciembre o cosas así, o antes.
[1:17:44.62]-[1:17:46.62]  Nosotros nos matamos antes por los actos.
[1:17:46.62]-[1:17:47.62]  Luego viene el frío entonces de nada, ¿no?
[1:17:47.62]-[1:17:50.62]  Y matábamos entonces en un marano.
[1:17:50.62]-[1:17:52.62]  Si no sabías matar tú,
[1:17:52.62]-[1:17:55.62]  a veces vas a ser un amigo o una amistad que no sabía matar, te la mataba.
[1:17:55.62]-[1:17:58.62]  Y el primero ya la mataba.
[1:17:58.62]-[1:18:01.62]  Y a comer hacha faena que se llamaba.
[1:18:01.62]-[1:18:02.62]  La sangre.
[1:18:02.62]-[1:18:07.62]  La sangre con hígado y lo echaba a lo mejor con patatas o hígado solo,
[1:18:07.62]-[1:18:08.62]  depende cómo se llama.
[1:18:08.62]-[1:18:13.62]  Y al día siguiente, vamos, se la mataba, se le limpiaba,
[1:18:13.62]-[1:18:17.62]  le acaba tomando ventuche, porque limpiaba como debido.
[1:18:17.62]-[1:18:18.62]  Le daba las tripas.
[1:18:18.62]-[1:18:21.62]  Le daba las tripas y las tripas ya era para hacer los chorizos.
[1:18:21.62]-[1:18:23.62]  Al día siguiente se les tazaba.
[1:18:23.62]-[1:18:25.62]  ¿Y las tripas para qué se usaba?
[1:18:25.62]-[1:18:26.62]  Para hacer los chorizos.
[1:18:26.62]-[1:18:28.62]  Porque debía de ser hacer los chorizos.
[1:18:28.62]-[1:18:29.62]  Con las tripas del cerdo.
[1:18:29.62]-[1:18:31.62]  Pero se echaban...
[1:18:31.62]-[1:18:33.62]  Se limpiaban.
[1:18:33.62]-[1:18:36.62]  Las tripas del cerdo como todas las tripas, estaban sucias.
[1:18:36.62]-[1:18:39.62]  Ya sabes, te dejás con todo, como toda la mierda, toda.
[1:18:39.62]-[1:18:40.62]  Estaba sucia.
[1:18:40.62]-[1:18:46.62]  Pues las tripas se limpiaban y las echaban con sal y vinagre o eso tal,
[1:18:46.62]-[1:18:49.62]  y las limpiaban, pero que limpiaba, pero que limpiaba.
[1:18:49.62]-[1:18:50.62]  Pero hay que lavarlas mucho.
[1:18:50.62]-[1:18:52.62]  Hay que lavarlas mucho, mucho, mucho.
[1:18:52.62]-[1:18:55.62]  Hay que lavarlas mucho, que gasta mucha agua para lavarlas.
[1:18:55.62]-[1:18:57.62]  No hay mucho trabajo, las lavarlas no pueden...
[1:18:57.62]-[1:18:58.62]  Antes eran bestias.
[1:18:58.62]-[1:19:00.62]  Y después de eso, al día después les tazaba.
[1:19:00.62]-[1:19:01.62]  ¿Cómo?
[1:19:01.62]-[1:19:02.62]  Estasarles, que se llama.
[1:19:02.62]-[1:19:03.62]  Abrirles.
[1:19:03.62]-[1:19:04.62]  Hacer un encaje.
[1:19:04.62]-[1:19:05.62]  Hacer un encaje, un trozo.
[1:19:05.62]-[1:19:06.62]  Sacarlos.
[1:19:06.62]-[1:19:08.62]  Los romos para un sitio, la careta para otro sitio,
[1:19:08.62]-[1:19:12.62]  la cabeza para otro sitio, limpiar la careta, sacar los sesos, todas las cosas.
[1:19:12.62]-[1:19:16.62]  Y los romos por un sitio, entre puestos para otro, los costillares.
[1:19:16.62]-[1:19:17.62]  Entre puestos los costillares.
[1:19:17.62]-[1:19:18.62]  Un marrano tiene mucha...
[1:19:18.62]-[1:19:24.62]  Los lomos van aparte, los lomillos, porque el marrano tiene dos lomillos que son así, pequeños.
[1:19:24.62]-[1:19:25.62]  Los arroyos.
[1:19:25.62]-[1:19:26.62]  Y los lomos son lomos grandes.
[1:19:26.62]-[1:19:28.62]  Y tiene los costillares.
[1:19:28.62]-[1:19:32.62]  Y tiene la, hasta la, la asadura.
[1:19:32.62]-[1:19:33.62]  El alma.
[1:19:33.62]-[1:19:36.62]  Que tiene, bueno, la alma es del costillar, que le llamamos, es igual.
[1:19:36.62]-[1:19:37.62]  Bueno, pero eso...
[1:19:37.62]-[1:19:38.62]  Los costillares son muchas cosas.
[1:19:38.62]-[1:19:39.62]  Adoban los romos.
[1:19:39.62]-[1:19:40.62]  Sí, sí, lo adoban todo.
[1:19:40.62]-[1:19:42.62]  Yo lo conocí en mi casa siempre.
[1:19:42.62]-[1:19:44.62]  Y mi madre me parece igual.
[1:19:44.62]-[1:19:46.62]  Los lomos y los entrepuestos y eso.
[1:19:46.62]-[1:19:51.62]  Y después, pues, al otro día después, se picaba ese día.
[1:19:51.62]-[1:19:59.62]  El segundo día se picaba la carne, luego le echaban la sal y el pimiento y el orégano,
[1:19:59.62]-[1:20:00.62]  como que echabas en ello.
[1:20:00.62]-[1:20:01.62]  Y ajo.
[1:20:01.62]-[1:20:03.62]  Y ajo, todas esas cosas, los condimentos que se echaban.
[1:20:03.62]-[1:20:05.62]  ¿Me traían el orégano?
[1:20:05.62]-[1:20:07.62]  Un tío que venía a achar desde fuera.
[1:20:07.62]-[1:20:13.62]  Un señor que venía con un muro por ahí y venía a ir comprando peliejos y vendía oréganos,
[1:20:13.62]-[1:20:16.62]  pimienta, sal y todas esas cosas.
[1:20:16.62]-[1:20:18.62]  Los cominos también los vendí.
[1:20:18.62]-[1:20:20.62]  Sí, sí, los cominos.
[1:20:20.62]-[1:20:23.62]  Los cominos echaban más bien para los callos, llamaban.
[1:20:23.62]-[1:20:25.62]  Y el callo del marrano no se tiraba.
[1:20:25.62]-[1:20:27.62]  No se limpiaba también.
[1:20:27.62]-[1:20:30.62]  Y hacían choritos de callos con el chofe.
[1:20:30.62]-[1:20:32.62]  El chofe que es el pulmón.
[1:20:32.62]-[1:20:34.62]  El marrano, no está bien eso.
[1:20:34.62]-[1:20:36.62]  Con eso lo echaba.
[1:20:36.62]-[1:20:45.62]  Y lo que era el chofe de ese, con lo más desangritado de un cerdo que estaba,
[1:20:45.62]-[1:20:48.62]  con lo movías, con el chofe y con el callo.
[1:20:48.62]-[1:20:50.62]  Se hacían los choritos de callos.
[1:20:50.62]-[1:20:53.62]  Y los otros se hacían de carne buena, que se llamaba.
[1:20:53.62]-[1:21:00.62]  Y luego los lomos, los jamones, pues echaban esa en unas tablas.
[1:21:00.62]-[1:21:04.62]  Los echaban en las tablas, los pudieron bien desangrar los jamones.
[1:21:04.62]-[1:21:07.62]  Y al tocido echaban así por encima un poco de sal.
[1:21:07.62]-[1:21:08.62]  Y era conservación.
[1:21:08.62]-[1:21:11.62]  Si te conservaba bien y si no te conservaba, pues a tirar.
[1:21:11.62]-[1:21:14.62]  A mí cuántas veces había que se ponían mal los jamones.
[1:21:14.62]-[1:21:15.62]  Y había que tirarlos.
[1:21:15.62]-[1:21:16.62]  Honda.
[1:21:16.62]-[1:21:21.62]  Recuerdo yo de uno que maté un marrano que me pesó 13 arrobas a la canal.
[1:21:21.62]-[1:21:24.62]  Y yo iba a casa de mi madre que me pasé el tiro.
[1:21:24.62]-[1:21:26.62]  Pues se nos puso malos todos los jamones.
[1:21:26.62]-[1:21:28.62]  Los jamones nos palen las cuatro balas.
[1:21:28.62]-[1:21:30.62]  Y las paletillas. Les tuve que tirar todos.
[1:21:30.62]-[1:21:32.62]  Los comían los perros porque orían.
[1:21:32.62]-[1:21:38.62]  Además se pusieron en malos que escurrían, hacían pin, pin, como el chocolate.
[1:21:38.62]-[1:21:39.62]  No de coco.
[1:21:39.62]-[1:21:41.62]  Una enfermedad que me entraría.
[1:21:41.62]-[1:21:42.62]  Pero el jamón que no veas.
[1:21:42.62]-[1:21:45.62]  Pero los jamones dan guerra para curar, ¿verdad?
[1:21:45.62]-[1:21:50.62]  Y otros años, hace pocos años, hace dos o tres años.
[1:21:50.62]-[1:21:55.62]  Y esa que estaba ahí, que es la hermana de esta, matamos tres marranos para él y para mí para los dos.
[1:21:55.62]-[1:22:02.62]  Pues el marrano más grande que pesó 160 kilos, los jamones nos cieron por lo todo.
[1:22:02.62]-[1:22:04.62]  Lo mismo me pedí. Les tuve que tirar.
[1:22:04.62]-[1:22:08.62]  Bueno, es peligroso porque no se conservan bien.
[1:22:08.62]-[1:22:11.62]  Hay niños que se conservan bien. Depende.
[1:22:11.62]-[1:22:14.62]  La verdad que veo hacer labor a su mujer.
[1:22:14.62]-[1:22:18.62]  Se le da bien a su mujer hacer cosas de estas.
[1:22:18.62]-[1:22:19.62]  Está haciendo un mandí.
[1:22:19.62]-[1:22:20.62]  ¿Qué es un mandí?
[1:22:20.62]-[1:22:22.62]  Preparado por mandí, no para eso.
[1:22:22.62]-[1:22:25.62]  ¿Qué no le da bien hacer eso de los mandíes?
[1:22:25.62]-[1:22:29.62]  Si me da muy bien, ya tengo alguna boca, ya no hay que hacer nada.
[1:22:29.62]-[1:22:30.62]  No sé, no sé.
[1:22:30.62]-[1:22:32.62]  ¿Y quién manda aquí en casa?
[1:22:32.62]-[1:22:34.62]  No, no la mujer.
[1:22:34.62]-[1:22:36.62]  No, pero si no manda la mujer estamos en la...
[1:22:36.62]-[1:22:37.62]  Los dos.
[1:22:37.62]-[1:22:40.62]  Por lo general mandan mal las mujeres que lo son.
[1:22:40.62]-[1:22:42.62]  Porque es que tenemos que disponer más.
[1:22:42.62]-[1:22:43.62]  ¿Por qué?
[1:22:43.62]-[1:22:44.62]  Tenemos que mandar a la fuerza.
[1:22:44.62]-[1:22:46.62]  Porque hay que poner a la comida.
[1:22:46.62]-[1:22:52.62]  A ver, ¿quién dice, bueno, pues, tengo que lavar ese pantalón, tengo que lavar la camisa hoy, pues que...
[1:22:52.62]-[1:22:58.62]  La camisa del domingo, pues hay que lavarla el lunes porque ya lleva lo mejor todo el día.
[1:22:58.62]-[1:23:00.62]  Por lo general mandan mal las mujeres.
[1:23:00.62]-[1:23:02.62]  ¿Por qué es la mujer la que tiene que lavar la camisa?
[1:23:02.62]-[1:23:04.62]  Que sea acaso, no sea acaso de lo que diga.
[1:23:04.62]-[1:23:07.62]  Pero estoy bien que la quiere, aunque no...
[1:23:07.62]-[1:23:10.62]  Hombre, ya, pero si hay que querer, si no, se va a querer una otra, es naturalmente.
[1:23:10.62]-[1:23:13.62]  Anda, no nos han dicho, ¿han tenido hijos ustedes?
[1:23:13.62]-[1:23:14.62]  Si, tengo dos.
[1:23:14.62]-[1:23:16.62]  ¿Y van a visitar a...?
[1:23:16.62]-[1:23:18.62]  Tengo dos, dos hijos elegantes.
[1:23:18.62]-[1:23:19.62]  Chica y chico.
[1:23:19.62]-[1:23:22.62]  No es que les alabe yo, pero tengo dos hijos elegantes.
[1:23:22.62]-[1:23:23.62]  ¿No les alaba?
[1:23:23.62]-[1:23:25.62]  No, les digo la verdad.
[1:23:25.62]-[1:23:28.62]  Tengo los hijos que van en un tesoro en el mundo, ustedes.
[1:23:28.62]-[1:23:31.62]  Y un nieto precioso.
[1:23:31.62]-[1:23:32.62]  Son muy majos.
[1:23:32.62]-[1:23:34.62]  Tengo dos nietas y un nieto.
[1:23:34.62]-[1:23:36.62]  El nieto es del hijo.
[1:23:36.62]-[1:23:37.62]  Son muy majos, los nietos.
[1:23:37.62]-[1:23:39.62]  Son de la hija.
[1:23:39.62]-[1:23:40.62]  Son muy majos, así.
[1:23:40.62]-[1:23:42.62]  Claro, estoy mal.
[1:23:42.62]-[1:23:44.62]  ¿Quién es, no?
[1:23:44.62]-[1:23:45.62]  ¿Dónde la cacho?
[1:23:45.62]-[1:23:46.62]  ¿Dónde la...?
[1:23:46.62]-[1:23:47.62]  Es que no puedo.
[1:23:47.62]-[1:23:48.62]  ¿Eh?
[1:23:48.62]-[1:23:49.62]  No, no hay duda.
[1:23:49.62]-[1:23:51.62]  Nos estamos cansando, nos vamos a ayudar.
[1:23:51.62]-[1:23:52.62]  Estoy esperando la cadera.
[1:23:52.62]-[1:23:53.62]  ¿Por qué?
[1:23:53.62]-[1:23:56.62]  Estoy esperando de cadera y las prósis.
[1:23:56.62]-[1:23:58.62]  Oiga, esto no sabe cómo nos ha ayudado, de verdad.
[1:23:58.62]-[1:24:00.62]  ¿Sabe algo que me gustaría saber?
[1:24:00.62]-[1:24:02.62]  ¿Sabe algún romance?
[1:24:02.62]-[1:24:03.62]  ¿Qué dice?
[1:24:03.62]-[1:24:05.62]  Estaba en el cono, las mozas.
[1:24:05.62]-[1:24:07.62]  Y yo en el cono ya.
[1:24:07.62]-[1:24:09.62]  No me sale ningún romance.
[1:24:09.62]-[1:24:12.62]  Confloresando...
