[0:00:00.00]-[0:00:02.00]  Una miaja, ¿no?
[1:10:21.00]-[1:10:23.00]  Comprende, usted tenía unas hojas,
[1:10:23.00]-[1:10:25.00]  la hacían.
[1:10:25.00]-[1:10:27.00]  ¿Y no se le ponía pegamento, ni nada?
[1:10:27.00]-[1:10:29.00]  No, no, no, no, que no se pegaba,
[1:10:29.00]-[1:10:31.00]  más que coserlo, coserlo, y ya está.
[1:10:37.00]-[1:10:39.00]  ¿Y ha ido usted a la escuela?
[1:10:39.00]-[1:10:41.00]  ¿Eh? ¿Ha ido usted a la escuela?
[1:10:41.00]-[1:10:43.00]  La escuela no. ¿No?
[1:10:43.00]-[1:10:45.00]  Fui a Gurme,
[1:10:45.00]-[1:10:47.00]  y ya me han echado a trabajar,
[1:10:47.00]-[1:10:49.00]  y yo, con un maestro de noche,
[1:10:49.00]-[1:10:51.00]  cuando venía a mi casa, iba al maestro.
[1:10:51.00]-[1:10:53.00]  Vamos al maestro,
[1:10:53.00]-[1:10:55.00]  a un hombre que daba a la escuela,
[1:10:55.00]-[1:10:57.00]  no a un maestro.
[1:10:57.00]-[1:10:59.00]  No era maestro tampoco.
[1:10:59.00]-[1:11:01.00]  ¿Por la noche?
[1:11:01.00]-[1:11:03.00]  Sí, por la noche.
[1:11:03.00]-[1:11:05.00]  Pues qué paliza de día.
[1:11:05.00]-[1:11:07.00]  Pues ya va.
[1:11:07.00]-[1:11:09.00]  ¿Y iba mucha gente por la noche?
[1:11:09.00]-[1:11:11.00]  Sí, sí, sí, íbamos algunos, sí,
[1:11:11.00]-[1:11:13.00]  bastante, que estaban conmigo, igual.
[1:11:13.00]-[1:11:15.00]  Y escuela yo no tenía.
[1:11:15.00]-[1:11:17.00]  ¿Iban chicas o solo chicos?
[1:11:17.00]-[1:11:19.00]  Sí, íbamos chicas también, sí.
[1:11:19.00]-[1:11:21.00]  Claro fue.
[1:11:21.00]-[1:11:23.00]  Muchas que no tenían,
[1:11:23.00]-[1:11:25.00]  que tenían que trabajar en la casa,
[1:11:25.00]-[1:11:27.00]  por la madre, por la mujer,
[1:11:27.00]-[1:11:29.00]  por la noche aprendieron a mejor que ahí.
[1:11:29.00]-[1:11:31.00]  Claro fue.
[1:11:31.00]-[1:11:33.00]  ¿Te enseñaban a leer?
[1:11:33.00]-[1:11:35.00]  Hombre, a leer, ya se cuenta.
[1:11:37.00]-[1:11:39.00]  Claro fue.
[1:11:39.00]-[1:11:41.00]  ¿Iban con algún libro?
[1:11:41.00]-[1:11:45.00]  Claro, un libro.
[1:11:45.00]-[1:11:47.00]  No tantos libros como ahora.
[1:11:49.00]-[1:11:51.00]  ¿Y lo llamaban de alguna manera el libro?
[1:11:51.00]-[1:11:53.00]  Yo no me acuerdo de la vida, yo era pequeño.
[1:11:55.00]-[1:11:57.00]  El primero, la cartilla,
[1:11:57.00]-[1:11:59.00]  era una cartilla, al primero.
[1:11:59.00]-[1:12:01.00]  Era una cartilla de la
[1:12:01.00]-[1:12:03.00]  A, O y tal.
[1:12:03.00]-[1:12:05.00]  M, N, T, todo eso.
[1:12:05.00]-[1:12:07.00]  Ese era el primero.
[1:12:07.00]-[1:12:09.00]  Ese era el primero que yo hice, no llegar ni pasarlo.
[1:12:09.00]-[1:12:11.00]  Ese.
[1:12:13.00]-[1:12:15.00]  ¿El maestro era duro?
[1:12:15.00]-[1:12:17.00]  Algunos eran duros,
[1:12:17.00]-[1:12:19.00]  que tenían que hacer, si no, no.
[1:12:19.00]-[1:12:21.00]  No estudiábamos nada.
[1:12:21.00]-[1:12:23.00]  ¿Eran ustedes malos?
[1:12:23.00]-[1:12:25.00]  Vamos a ir a hacer lo que queramos, entonces no.
[1:12:25.00]-[1:12:27.00]  Sí, sí, sí.
[1:12:27.00]-[1:12:29.00]  Claro que era duro.
[1:12:33.00]-[1:12:35.00]  Y con mucho que dié,
[1:12:35.00]-[1:12:37.00]  que como padre, elijera el padre,
[1:12:37.00]-[1:12:39.00]  porque...
[1:12:39.00]-[1:12:41.00]  El padre te...
[1:12:41.00]-[1:12:43.00]  La primera que decía el padre,
[1:12:43.00]-[1:12:45.00]  ya hace falta un...
[1:12:45.00]-[1:12:47.00]  algún boquetazo, se lo da.
[1:12:47.00]-[1:12:49.00]  El padre es maestro.
[1:12:49.00]-[1:12:51.00]  No es como ahora que no puede tocar las dos alas.
[1:12:53.00]-[1:12:55.00]  La moda es poderlo hacer lo mismo.
[1:12:55.00]-[1:12:57.00]  Si hacía falta algún boquetazo alguno,
[1:12:57.00]-[1:12:59.00]  es que se lo diera.
[1:12:59.00]-[1:13:01.00]  Y que va esto a decirle a tu madre
[1:13:01.00]-[1:13:03.00]  que está pegando maestro, mañana.
[1:13:03.00]-[1:13:05.00]  No se lo decía.
[1:13:05.00]-[1:13:07.00]  No se lo decía.
[1:13:07.00]-[1:13:09.00]  Si, si, si.
[1:13:09.00]-[1:13:11.00]  ¿Qué dice?
[1:13:11.00]-[1:13:13.00]  Doble, ¿no?
[1:13:13.00]-[1:13:15.00]  Doble, sí.
[1:13:15.00]-[1:13:17.00]  Pero como el maestro, ¿con la regla?
[1:13:17.00]-[1:13:19.00]  No, con la mano.
[1:13:19.00]-[1:13:21.00]  Estamos...
[1:13:21.00]-[1:13:23.00]  No te escatos, no estudias, no.
[1:13:23.00]-[1:13:25.00]  Claro.
[1:13:25.00]-[1:13:27.00]  A mí, como no temía al padre,
[1:13:27.00]-[1:13:29.00]  no temía al maestro, pues agárrate.
[1:13:29.00]-[1:13:31.00]  Apliarte ahí, todo lo que podía.
[1:13:35.00]-[1:13:37.00]  ¿Había maestro y maestra?
[1:13:37.00]-[1:13:39.00]  Sí, maestro y maestra.
[1:13:39.00]-[1:13:41.00]  Yo estuve con una maestra,
[1:13:41.00]-[1:13:43.00]  fue la que más me enseñó.
[1:13:43.00]-[1:13:45.00]  Era de Valencia.
[1:13:45.00]-[1:13:47.00]  Estaba casado con uno de aquí.
[1:13:47.00]-[1:13:49.00]  Estuvo la milea, eh.
[1:13:49.00]-[1:13:51.00]  Se gozó con ella y vino a vivir aquí.
[1:13:51.00]-[1:13:53.00]  Y aquella fue la que me enseñó a mí.
[1:13:53.00]-[1:13:55.00]  Mi ameaza que es.
[1:13:55.00]-[1:13:57.00]  Pero en Doña Inés sí que había escuela,
[1:13:57.00]-[1:13:59.00]  ¿no ves?
[1:13:59.00]-[1:14:01.00]  ¿Qué?
[1:14:01.00]-[1:14:03.00]  En Doña Inés sí que había escuela.
[1:14:03.00]-[1:14:05.00]  Sí, hombre, sí.
[1:14:05.00]-[1:14:07.00]  Era su maestra.
[1:14:07.00]-[1:14:09.00]  O sea que era entonces un pueblo más grande que ahora.
[1:14:09.00]-[1:14:11.00]  El pueblo es mismo,
[1:14:11.00]-[1:14:13.00]  pero estaban todas las casas ocupadas.
[1:14:13.00]-[1:14:15.00]  Todas, todas, todas.
[1:14:15.00]-[1:14:17.00]  Aquí no había una casa que no estuviera ocupada,
[1:14:17.00]-[1:14:19.00]  como una familia.
[1:14:19.00]-[1:14:21.00]  Eran muchos entonces.
[1:14:21.00]-[1:14:23.00]  Sí, sí, entonces.
[1:14:23.00]-[1:14:25.00]  ¿Saben cuántos serían?
[1:14:25.00]-[1:14:27.00]  ¿Cuántos serían entonces?
[1:14:27.00]-[1:14:29.00]  Yo, 400, 500 personas aquí.
[1:14:29.00]-[1:14:31.00]  Los chicos que hay.
[1:14:31.00]-[1:14:33.00]  Sí, sí.
[1:14:33.00]-[1:14:35.00]  ¿Y ahora qué dan?
[1:14:35.00]-[1:14:37.00]  Ciento y pico.
[1:14:37.00]-[1:14:39.00]  Sí.
[1:14:39.00]-[1:14:41.00]  Ya lo creo.
[1:14:41.00]-[1:14:43.00]  ¿Y dónde se ha ido todo el mundo?
[1:14:43.00]-[1:14:45.00]  ¿Dónde se ha ido todo el mundo?
[1:14:45.00]-[1:14:47.00]  Paloca, Murcia,
[1:14:47.00]-[1:14:49.00]  Totana, Alhama.
[1:14:49.00]-[1:14:51.00]  Por todos lados están esturbeados.
[1:14:51.00]-[1:14:53.00]  Caravacas, San Ildo Menagú, ¿no?
[1:14:53.00]-[1:14:55.00]  Hasta San Ildo Menagú, ¿no?
[1:14:55.00]-[1:14:57.00]  Esto es todo, sí.
[1:14:57.00]-[1:14:59.00]  En Francia se ha quedado
[1:14:59.00]-[1:15:01.00]  a lo mejor 30 o 40
[1:15:01.00]-[1:15:03.00]  a vivir allí, los que se fueron de aquí.
[1:15:03.00]-[1:15:05.00]  Sí, así.
[1:15:05.00]-[1:15:07.00]  ¿Con qué pueblo tienen aquí más relación?
[1:15:07.00]-[1:15:09.00]  ¿Eh?
[1:15:09.00]-[1:15:11.00]  ¿Con qué pueblo tienen más relación los de aquí de Doña Inés?
[1:15:11.00]-[1:15:13.00]  ¿Con qué otro pueblo?
[1:15:13.00]-[1:15:15.00]  No, nosotros no tenemos.
[1:15:15.00]-[1:15:17.00]  Con los de allí de Coy no se lleva muy bien, ¿no?
[1:15:17.00]-[1:15:19.00]  Por lo del agua.
[1:15:19.00]-[1:15:21.00]  No, nosotros no tenemos.
[1:15:21.00]-[1:15:23.00]  No, nosotros no tenemos.
[1:15:23.00]-[1:15:25.00]  No.
[1:15:25.00]-[1:15:27.00]  Esos tres frentes sí.
[1:15:27.00]-[1:15:29.00]  Había las tierras de unos a otros.
[1:15:29.00]-[1:15:31.00]  Mejor si hay una carretera, los dos pasos de la carretera,
[1:15:31.00]-[1:15:33.00]  por acá.
[1:15:33.00]-[1:15:35.00]  ¿Entonces te dejan?
[1:15:35.00]-[1:15:37.00]  No.
[1:15:37.00]-[1:15:39.00]  Entonces había...
[1:15:39.00]-[1:15:41.00]  había rascas.
[1:15:41.00]-[1:15:43.00]  Pero no había ideas.
[1:15:43.00]-[1:15:45.00]  Pero ahora no.
[1:15:45.00]-[1:15:47.00]  Ahora no hay ideas.
[1:15:47.00]-[1:15:49.00]  ¿Se tiraban cosas o...?
[1:15:49.00]-[1:15:51.00]  No.
[1:15:51.00]-[1:15:53.00]  No.
[1:15:53.00]-[1:15:55.00]  ¿Y qué pasaba si se casaba una chica con alguien de fuera?
[1:15:55.00]-[1:15:57.00]  Claro, creo que desde aquí...
[1:15:57.00]-[1:15:59.00]  Sí, sí. Así mismo.
[1:15:59.00]-[1:16:01.00]  Pasaba.
[1:16:01.00]-[1:16:03.00]  Las querían para ustedes, ¿no?
[1:16:03.00]-[1:16:05.00]  Claro.
[1:16:05.00]-[1:16:07.00]  Pero ahora no.
[1:16:07.00]-[1:16:09.00]  No hay tierra con este en los lados de los mundos.
[1:16:09.00]-[1:16:11.00]  Ahora no.
[1:16:11.00]-[1:16:13.00]  Pero que hay poca gente en este pueblo,
[1:16:13.00]-[1:16:15.00]  bastante arreglado, ¿no?
[1:16:15.00]-[1:16:17.00]  Sí, es que hay que comprar, mucha gente de Boca
[1:16:17.00]-[1:16:19.00]  ha comprado casas aquí.
[1:16:19.00]-[1:16:21.00]  Vieja y nada, arreglado.
[1:16:21.00]-[1:16:23.00]  El pueblo está arreglado.
[1:16:23.00]-[1:16:25.00]  Queda alguna mezquita por allá, poca cosa.
[1:16:25.00]-[1:16:27.00]  Sí, sí.
[1:16:27.00]-[1:16:29.00]  Sí, sí, sí.
[1:16:29.00]-[1:16:31.00]  Quedan pocos viejos ya.
[1:16:31.00]-[1:16:33.00]  Y no se ha acabado lo viejo
[1:16:33.00]-[1:16:35.00]  porque es que esto es un cambio.
[1:16:35.00]-[1:16:37.00]  El crisis es un cambio, si no...
[1:16:37.00]-[1:16:39.00]  Sí.
[1:16:39.00]-[1:16:41.00]  A ver el crisis en toda la gente ya...
[1:16:41.00]-[1:16:43.00]  no han comprado más, pero esto está arreglado, sí.
[1:16:43.00]-[1:16:45.00]  Pues nada.
[1:16:45.00]-[1:16:47.00]  ¿Y el crisis ha tocado mucho la...
[1:16:47.00]-[1:16:49.00]  la albañilería y eso que usted...
[1:16:49.00]-[1:16:51.00]  ¿Eh?
[1:16:51.00]-[1:16:53.00]  ¿Que la albañilería y eso ahora con la crisis
[1:16:53.00]-[1:16:55.00]  se ha ido...
[1:16:55.00]-[1:16:57.00]  Ahora no hay albañilería ninguna.
[1:16:57.00]-[1:16:59.00]  No.
[1:16:59.00]-[1:17:01.00]  Y usted si coge unos años buenos.
[1:17:01.00]-[1:17:03.00]  Ahora digo, todo este trabajo que...
[1:17:03.00]-[1:17:05.00]  estoy conmigo, la poca gente de la vida y de hoy,
[1:17:05.00]-[1:17:07.00]  gente conmigo.
[1:17:07.00]-[1:17:09.00]  Sí, pero ahora...
[1:17:09.00]-[1:17:11.00]  terminado.
[1:17:11.00]-[1:17:13.00]  Hay una obra que están haciendo
[1:17:13.00]-[1:17:15.00]  y...
[1:17:15.00]-[1:17:17.00]  está muerto. Como está todo.
[1:17:17.00]-[1:17:19.00]  Esto por ahí no está muerto todo.
[1:17:19.00]-[1:17:21.00]  Sí, eso es.
[1:17:21.00]-[1:17:23.00]  Hay en los casos de algunos agrúas
[1:17:23.00]-[1:17:25.00]  por esto del terremoto, si no, nada.
[1:17:25.00]-[1:17:27.00]  Lo del terremoto
[1:17:27.00]-[1:17:29.00]  ¿Aquí se sintió?
[1:17:29.00]-[1:17:31.00]  Aquí se sintió un poco, muy poco.
[1:17:31.00]-[1:17:33.00]  Estábamos asentados en la marita
[1:17:33.00]-[1:17:35.00]  de la plaza esa, ¿acuerdo?
[1:17:35.00]-[1:17:37.00]  En el 07.
[1:17:37.00]-[1:17:39.00]  Muchacho.
[1:17:39.00]-[1:17:41.00]  Cuando tronó el terremoto ese que
[1:17:41.00]-[1:17:43.00]  eso se daño, estábamos
[1:17:43.00]-[1:17:45.00]  nosotros en la plaza de la planta y hicimos así.
[1:17:45.00]-[1:17:47.00]  Y les dije a los muchachos,
[1:17:47.00]-[1:17:49.00]  digo, de esto ya se dirá
[1:17:49.00]-[1:17:51.00]  de esto.
[1:17:51.00]-[1:17:53.00]  Otro día me lo dijeron, el 07
[1:17:53.00]-[1:17:55.00]  es un grado de este, está hecho el Lorca
[1:17:55.00]-[1:17:57.00]  y nos ha movido a nosotros, ¿qué habrá hecho allí?
[1:17:57.00]-[1:17:59.00]  Claro.
[1:17:59.00]-[1:18:01.00]  ¿A qué?
[1:18:01.00]-[1:18:03.00]  Es bien.
[1:18:03.00]-[1:18:05.00]  Y se quedó todo fatal, ¿no?
[1:18:05.00]-[1:18:07.00]  Ahí en Lorca fue
[1:18:07.00]-[1:18:09.00]  a muchos grandes.
[1:18:09.00]-[1:18:11.00]  De Madrid.
[1:18:11.00]-[1:18:13.00]  Ah, de Madrid.
[1:18:13.00]-[1:18:15.00]  Pues nada.
[1:18:15.00]-[1:18:17.00]  Pues allí
[1:18:17.00]-[1:18:19.00]  van a meter la cárcel como dicen estos.
[1:18:19.00]-[1:18:21.00]  Cuando presentáis todo esto que va inscrito.
[1:18:21.00]-[1:18:23.00]  Y no nos ha
[1:18:23.00]-[1:18:25.00]  contado nada malo.
[1:18:25.00]-[1:18:27.00]  Lo que sí he visto por aquí
[1:18:27.00]-[1:18:29.00]  es un montón de pájaros, de palomas
[1:18:29.00]-[1:18:31.00]  y tal.
[1:18:31.00]-[1:18:33.00]  Sí, de palomas hay bastante, sí.
[1:18:33.00]-[1:18:35.00]  Y pájaros de los negros.
[1:18:35.00]-[1:18:37.00]  ¿Los negros cuáles son?
[1:18:37.00]-[1:18:39.00]  Los negros pues unos que por ahí.
[1:18:39.00]-[1:18:41.00]  ¿Pero qué son?
[1:18:41.00]-[1:18:43.00]  Le dicen tordos.
[1:18:43.00]-[1:18:45.00]  ¿Eso se comen?
[1:18:45.00]-[1:18:47.00]  Sí.
[1:18:47.00]-[1:18:49.00]  Si se pillan y usted
[1:18:49.00]-[1:18:51.00]  alguna vez...
[1:18:51.00]-[1:18:53.00]  Yo no he llegado, pues yo no soy cazado.
[1:18:53.00]-[1:18:55.00]  Pero muchos se han matado, sí.
[1:18:55.00]-[1:18:57.00]  Y tortolas también hay algunas.
[1:18:57.00]-[1:18:59.00]  ¿Y los patos?
[1:18:59.00]-[1:19:01.00]  Los patos los echaron
[1:19:01.00]-[1:19:03.00]  allá al agua y aquí los veis, ¿vistos?
[1:19:03.00]-[1:19:05.00]  Pues ahí están.
[1:19:05.00]-[1:19:07.00]  ¿Y alguna vez se han comido algún pato?
[1:19:07.00]-[1:19:09.00]  ¿Eh?
[1:19:09.00]-[1:19:11.00]  No, yo no, eso yo no.
[1:19:11.00]-[1:19:13.00]  Esos son de adorno, ¿no?
[1:19:13.00]-[1:19:15.00]  Sí, esos son para adorno, sí.
[1:19:15.00]-[1:19:17.00]  Hay gente, cuando son pequeñicos
[1:19:17.00]-[1:19:19.00]  los hijos
[1:19:19.00]-[1:19:21.00]  como un pato, un pequeñico y tal.
[1:19:21.00]-[1:19:23.00]  Con machos grandes, todos los que hacen con él.
[1:19:23.00]-[1:19:25.00]  Y los han traído ahí.
[1:19:25.00]-[1:19:27.00]  Así son los callaís.
[1:19:27.00]-[1:19:29.00]  De esa manera.
[1:19:29.00]-[1:19:31.00]  ¿Algún niña habrá?
[1:19:31.00]-[1:19:33.00]  Porque hay para jugar al baloncesto.
[1:19:33.00]-[1:19:35.00]  Sí, claro, hoy no hay muchos, pero si bien
[1:19:35.00]-[1:19:37.00]  no hay otros.
[1:19:37.00]-[1:19:39.00]  Estados para tarde, los sacares que hay aquí.
[1:19:39.00]-[1:19:41.00]  Que ni venen los callaís,
[1:19:41.00]-[1:19:43.00]  ni venen el time, ni venen...
[1:19:43.00]-[1:19:45.00]  Aquí, otros que son de los callaís
[1:19:45.00]-[1:19:47.00]  y los sacares los traen aquí
[1:19:47.00]-[1:19:49.00]  porque están acá, están como quieran.
[1:19:49.00]-[1:19:51.00]  Sí, sí.
[1:19:51.00]-[1:19:53.00]  En mes de agosto había aquí
[1:19:53.00]-[1:19:55.00]  un gentío, ya, una cosa ya.
[1:19:55.00]-[1:19:57.00]  Gente que ha venido de por ahí.
[1:19:57.00]-[1:19:59.00]  Como aquí cuesta la vida menos
[1:19:59.00]-[1:20:01.00]  se me quedan dicho, vámonos allí.
[1:20:01.00]-[1:20:03.00]  Pues todos los que se han vaciado en otros sitios.
[1:20:03.00]-[1:20:05.00]  Cada vez que parto de negocio aquí se han venido.
[1:20:05.00]-[1:20:07.00]  Uno que tiene casa y otros amigos
[1:20:07.00]-[1:20:09.00]  han venido con ella.
[1:20:09.00]-[1:20:11.00]  Hay mucha gente en mes de agosto.
[1:20:11.00]-[1:20:13.00]  ¿Va bien el pueblo entonces?
[1:20:13.00]-[1:20:15.00]  Sí, sí.
[1:20:15.00]-[1:20:17.00]  ¿Ahora en invierno aquí hace frío?
[1:20:17.00]-[1:20:19.00]  Hombre, claro.
[1:20:19.00]-[1:20:21.00]  Ahora ya, pues vienes sábado para tarde
[1:20:21.00]-[1:20:23.00]  y vienes por la noche.
[1:20:23.00]-[1:20:25.00]  Ya vienen, si tienes sábado aquí
[1:20:25.00]-[1:20:27.00]  domingo hasta medio día.
[1:20:27.00]-[1:20:29.00]  La tarde ya se van todos.
[1:20:29.00]-[1:20:31.00]  Y luego cuando llega el invierno
[1:20:31.00]-[1:20:33.00]  esto se queda vacío.
[1:20:33.00]-[1:20:35.00]  No, no, los cabemos.
[1:20:35.00]-[1:20:37.00]  Los cabemos y los sábados y domingos
[1:20:37.00]-[1:20:39.00]  vienen la gente lo mismo.
[1:20:39.00]-[1:20:41.00]  Igual, porque son de aquí de abajo.
[1:20:41.00]-[1:20:43.00]  Tú sabes que sientes tu lumbre
[1:20:43.00]-[1:20:45.00]  y el tanto que da aquí.
[1:20:45.00]-[1:20:47.00]  Y hombre, sí, sí.
[1:20:47.00]-[1:20:49.00]  Ahora, ¿qué dices lo de la lumbre?
[1:20:49.00]-[1:20:51.00]  Cuando usted era pequeño ¿con qué se calentaban?
[1:20:51.00]-[1:20:53.00]  Con leña.
[1:20:53.00]-[1:20:55.00]  El mismo.
[1:20:55.00]-[1:20:57.00]  No como ahora que tenemos mejor leña,
[1:20:57.00]-[1:20:59.00]  ¿no?
[1:20:59.00]-[1:21:01.00]  ¿Por qué es mejor ahora?
[1:21:01.00]-[1:21:03.00]  Hombre, la leña que tenemos ahora
[1:21:03.00]-[1:21:05.00]  no es como antes que mejor
[1:21:05.00]-[1:21:07.00]  como decía que era una matoja cualquiera de la lumbre.
[1:21:07.00]-[1:21:09.00]  Ahora no, hoy tenemos leña buena.
[1:21:09.00]-[1:21:11.00]  Porque tenemos al menos
[1:21:11.00]-[1:21:13.00]  unos que son viejos, los estamos arrancando
[1:21:13.00]-[1:21:15.00]  poniendo nuevos.
[1:21:15.00]-[1:21:17.00]  Cuando descartamos los otros sacamos leña.
[1:21:17.00]-[1:21:19.00]  ¿Cual es que queremos?
[1:21:19.00]-[1:21:21.00]  Ahora sí.
[1:21:21.00]-[1:21:23.00]  A nuestro pueblo nos han dicho que arrancaban los romeros.
[1:21:23.00]-[1:21:25.00]  Sí, los romeros, sí, sí.
[1:21:25.00]-[1:21:27.00]  Salados.
[1:21:27.00]-[1:21:29.00]  Que se decían aquellos salados.
[1:21:31.00]-[1:21:33.00]  ¿Qué son?
[1:21:33.00]-[1:21:35.00]  ¿Qué son?
[1:21:35.00]-[1:21:37.00]  Salados, una mata grande.
[1:21:37.00]-[1:21:39.00]  Aquellos,
[1:21:39.00]-[1:21:41.00]  que muchos los traíamos,
[1:21:41.00]-[1:21:43.00]  es que aquellos los comían los conejos muy bien.
[1:21:43.00]-[1:21:45.00]  Es una mata que
[1:21:45.00]-[1:21:47.00]  estaba salada
[1:21:47.00]-[1:21:49.00]  y los conejos aquellos traíamos
[1:21:49.00]-[1:21:51.00]  unos ases de aquellos y los conejos
[1:21:51.00]-[1:21:53.00]  comían locos comiendo aquello.
[1:21:53.00]-[1:21:55.00]  Y se criaban bien con eso.
[1:21:55.00]-[1:21:57.00]  Claro, creo. Y entonces
[1:21:57.00]-[1:21:59.00]  para leña, para la lumbre.
[1:21:59.00]-[1:22:01.00]  Y los romeros darían bien...
[1:22:01.00]-[1:22:03.00]  Hombre, tú verás.
[1:22:03.00]-[1:22:05.00]  El único pueblo que llama un romero
[1:22:05.00]-[1:22:07.00]  y se ha quedado sin lumbre.
[1:22:07.00]-[1:22:09.00]  No es como ahora que hay dos palos y tienes
[1:22:09.00]-[1:22:11.00]  lumbre para... Ahora,
[1:22:11.00]-[1:22:13.00]  la cocina esta moderna,
[1:22:13.00]-[1:22:15.00]  que se pone,
[1:22:15.00]-[1:22:17.00]  que se ha calado por toda la casa.
[1:22:17.00]-[1:22:19.00]  Porque antes no.
[1:22:19.00]-[1:22:21.00]  Antes no, antes sí.
[1:22:21.00]-[1:22:23.00]  Ahora sí, ponen la cocina de esas
[1:22:23.00]-[1:22:25.00]  y le abrimos los pegadero
[1:22:25.00]-[1:22:27.00]  para la habitación, otro para otro y eso
[1:22:27.00]-[1:22:29.00]  va.
[1:22:29.00]-[1:22:31.00]  Y entonces se da nada más la lumbre y había que ponerse allí.
[1:22:31.00]-[1:22:33.00]  Sí, sí.
[1:22:33.00]-[1:22:35.00]  Muy bien.
[1:22:35.00]-[1:22:37.00]  ¿Carbón ha visto usted hacer?
[1:22:37.00]-[1:22:39.00]  Sí.
[1:22:39.00]-[1:22:41.00]  ¿Ha visto usted hacer carbón? ¿Cómo se hace el carbón?
[1:22:41.00]-[1:22:43.00]  Pues el carbón se hace.
[1:22:43.00]-[1:22:45.00]  ¿Cómo se hacía?
[1:22:45.00]-[1:22:47.00]  Todavía.
[1:22:47.00]-[1:22:49.00]  ¿Todavía? Sí, todavía se hace.
[1:22:49.00]-[1:22:51.00]  Hacen un montón de leña,
[1:22:53.00]-[1:22:55.00]  así, de esta manera,
[1:22:55.00]-[1:22:57.00]  un palo contra otro,
[1:22:57.00]-[1:22:59.00]  un palo contra otro, un palo contra otro,
[1:22:59.00]-[1:23:01.00]  y hacen un montón
[1:23:01.00]-[1:23:03.00]  por el barbí,
[1:23:03.00]-[1:23:05.00]  y entonces le meten fuego.
[1:23:05.00]-[1:23:07.00]  No, entonces el montón
[1:23:07.00]-[1:23:09.00]  le echan más ramas
[1:23:09.00]-[1:23:11.00]  que hay
[1:23:11.00]-[1:23:13.00]  y tierra
[1:23:13.00]-[1:23:15.00]  encima.
[1:23:15.00]-[1:23:17.00]  Cuando ya se ha quemado toda la leña,
[1:23:17.00]-[1:23:19.00]  pues eso se hace así.
[1:23:21.00]-[1:23:23.00]  Se cae todo eso ahí,
[1:23:23.00]-[1:23:25.00]  y luego quitan todo eso y ya está.
[1:23:25.00]-[1:23:27.00]  Ahí está el carbón.
[1:23:27.00]-[1:23:29.00]  Porque si no tuviera eso, se atapara encima
[1:23:29.00]-[1:23:31.00]  de tierra y eso,
[1:23:31.00]-[1:23:33.00]  entonces el carbón se deshace.
[1:23:33.00]-[1:23:35.00]  Pues claro, hacer así,
[1:23:35.00]-[1:23:37.00]  eso se queda ahí.
[1:23:37.00]-[1:23:39.00]  No, pues el carbón por entero y ya está.
[1:23:39.00]-[1:23:41.00]  De otra manera.
[1:23:41.00]-[1:23:43.00]  De otra manera se hace.
[1:23:43.00]-[1:23:45.00]  Y hay que tener cuidado que no se escape...
[1:23:45.00]-[1:23:47.00]  Hombre, claro.
[1:23:47.00]-[1:23:49.00]  ¿Cómo se hace poniendo?
[1:23:49.00]-[1:23:51.00]  Entiendo la leña verde encima,
[1:23:53.00]-[1:23:55.00]  sale humo, sale humo,
[1:23:55.00]-[1:23:57.00]  y claro, como está
[1:23:57.00]-[1:23:59.00]  la tierra, la leña que está encima
[1:23:59.00]-[1:24:01.00]  no se quema.
[1:24:01.00]-[1:24:03.00]  Lo que hacen es que se suda,
[1:24:03.00]-[1:24:05.00]  que es cuando hace así,
[1:24:05.00]-[1:24:07.00]  luego quedan todo eso,
[1:24:07.00]-[1:24:09.00]  y pues empieza a sacar el carbón de ahí.
[1:24:11.00]-[1:24:13.00]  ¿Y todavía se hace así?
[1:24:13.00]-[1:24:15.00]  Sí, se hace para ahí en algunos sitios.
[1:24:15.00]-[1:24:17.00]  ¿Y queda buen carbón para...
[1:24:17.00]-[1:24:19.00]  ¿Queda buen carbón para cocinar?
[1:24:19.00]-[1:24:21.00]  Para cocinar y para las mujeres, para las plantas.
[1:24:23.00]-[1:24:25.00]  ¿Porque se planchaban?
[1:24:25.00]-[1:24:27.00]  Se planchaban con una plancha de esas,
[1:24:27.00]-[1:24:29.00]  con la mano.
[1:24:29.00]-[1:24:31.00]  Le echaban carbón a la plancha, la encendían,
[1:24:31.00]-[1:24:33.00]  y con aquello,
[1:24:33.00]-[1:24:35.00]  de vez en cuando, después la soplaban para aquello
[1:24:35.00]-[1:24:37.00]  y con aquello plantaban.
[1:24:39.00]-[1:24:41.00]  Así que ha cambiado todo mucho.
[1:24:41.00]-[1:24:43.00]  Por Dios, por Dios, por todo.
[1:24:43.00]-[1:24:45.00]  Esto por todo.
[1:24:45.00]-[1:24:47.00]  ¿Y a los padres había que tratarlos antes
[1:24:47.00]-[1:24:49.00]  con más miramiento, no?
[1:24:49.00]-[1:24:51.00]  Miramiento todo, hay que mirarlo a la fuerza.
[1:24:51.00]-[1:24:53.00]  ¿Cómo?
[1:24:53.00]-[1:24:55.00]  Que hay que mirarlo a la fuerza bien.
[1:24:55.00]-[1:24:57.00]  No es como ahora que
[1:24:57.00]-[1:24:59.00]  lo tomas otro día y dices,
[1:24:59.00]-[1:25:01.00]  no, entonces no te voy a dar hoy.
[1:25:01.00]-[1:25:03.00]  Si el padre decía por aquí, por aquí.
[1:25:07.00]-[1:25:09.00]  Y el de usted era muy...
